model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,-3,-3,0.7695296523517382
noise-aware,car_horn_background,-3,-3,0.7257668711656442
baseline,car_horn_background,-3,24,0.941717791411043
noise-aware,car_horn_background,-3,24,0.9503067484662576
baseline,car_horn_background,24,-3,0.710838445807771
noise-aware,car_horn_background,24,-3,0.6302658486707566
baseline,car_horn_background,24,24,0.9484662576687116
noise-aware,car_horn_background,24,24,0.9539877300613497
baseline,dog_bark_foreground,-3,-3,0.8537832310838446
noise-aware,dog_bark_foreground,-3,-3,0.849079754601227
baseline,dog_bark_foreground,-3,24,0.9566462167689161
noise-aware,dog_bark_foreground,-3,24,0.9568507157464212
baseline,dog_bark_foreground,24,-3,0.8339468302658487
noise-aware,dog_bark_foreground,24,-3,0.8216768916155419
baseline,dog_bark_foreground,24,24,0.9568507157464212
noise-aware,dog_bark_foreground,24,24,0.9611451942740287
baseline,street_music_foreground,-3,-3,0.34049079754601225
noise-aware,street_music_foreground,-3,-3,0.45480572597137015
baseline,street_music_foreground,-3,24,0.9341513292433538
noise-aware,street_music_foreground,-3,24,0.9476482617586912
baseline,street_music_foreground,24,-3,0.28261758691206545
noise-aware,street_music_foreground,24,-3,0.3282208588957055
baseline,street_music_foreground,24,24,0.9451942740286299
noise-aware,street_music_foreground,24,24,0.9505112474437628
