model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,-3,-3,0.7284253578732106
noise-aware,car_horn_background,-3,-3,0.6224948875255624
baseline,car_horn_background,-3,0,0.8153374233128834
noise-aware,car_horn_background,-3,0,0.7094069529652351
baseline,car_horn_background,-3,3,0.8644171779141104
noise-aware,car_horn_background,-3,3,0.7889570552147239
baseline,car_horn_background,-3,6,0.8932515337423312
noise-aware,car_horn_background,-3,6,0.8433537832310839
baseline,car_horn_background,-3,9,0.9096114519427403
noise-aware,car_horn_background,-3,9,0.883640081799591
baseline,car_horn_background,-3,12,0.9239263803680982
noise-aware,car_horn_background,-3,12,0.9081799591002045
baseline,car_horn_background,-3,15,0.9343558282208589
noise-aware,car_horn_background,-3,15,0.9302658486707567
baseline,car_horn_background,-3,18,0.9402862985685072
noise-aware,car_horn_background,-3,18,0.9392638036809816
baseline,car_horn_background,-3,21,0.9429447852760736
noise-aware,car_horn_background,-3,21,0.9462167689161555
baseline,car_horn_background,-3,24,0.9482617586912065
noise-aware,car_horn_background,-3,24,0.9507157464212679
baseline,car_horn_background,0,-3,0.7251533742331289
noise-aware,car_horn_background,0,-3,0.6231083844580777
baseline,car_horn_background,0,0,0.8159509202453987
noise-aware,car_horn_background,0,0,0.7098159509202454
baseline,car_horn_background,0,3,0.86359918200409
noise-aware,car_horn_background,0,3,0.7881390593047035
baseline,car_horn_background,0,6,0.8936605316973415
noise-aware,car_horn_background,0,6,0.8427402862985685
baseline,car_horn_background,0,9,0.90920245398773
noise-aware,car_horn_background,0,9,0.8848670756646216
baseline,car_horn_background,0,12,0.9239263803680982
noise-aware,car_horn_background,0,12,0.9077709611451943
baseline,car_horn_background,0,15,0.9341513292433538
noise-aware,car_horn_background,0,15,0.9282208588957055
baseline,car_horn_background,0,18,0.9402862985685072
noise-aware,car_horn_background,0,18,0.9394683026584867
baseline,car_horn_background,0,21,0.9433537832310839
noise-aware,car_horn_background,0,21,0.9460122699386503
baseline,car_horn_background,0,24,0.9478527607361963
noise-aware,car_horn_background,0,24,0.9511247443762781
baseline,car_horn_background,3,-3,0.7224948875255623
noise-aware,car_horn_background,3,-3,0.6186094069529653
baseline,car_horn_background,3,0,0.814519427402863
noise-aware,car_horn_background,3,0,0.7083844580777097
baseline,car_horn_background,3,3,0.8631901840490798
noise-aware,car_horn_background,3,3,0.7844580777096114
baseline,car_horn_background,3,6,0.8936605316973415
noise-aware,car_horn_background,3,6,0.841922290388548
baseline,car_horn_background,3,9,0.9096114519427403
noise-aware,car_horn_background,3,9,0.8848670756646216
baseline,car_horn_background,3,12,0.9243353783231084
noise-aware,car_horn_background,3,12,0.9075664621676892
baseline,car_horn_background,3,15,0.9347648261758691
noise-aware,car_horn_background,3,15,0.9278118609406953
baseline,car_horn_background,3,18,0.9406952965235174
noise-aware,car_horn_background,3,18,0.9396728016359919
baseline,car_horn_background,3,21,0.9439672801635992
noise-aware,car_horn_background,3,21,0.9456032719836401
baseline,car_horn_background,3,24,0.9484662576687116
noise-aware,car_horn_background,3,24,0.9513292433537832
baseline,car_horn_background,6,-3,0.7179959100204499
noise-aware,car_horn_background,6,-3,0.6169734151329244
baseline,car_horn_background,6,0,0.8120654396728016
noise-aware,car_horn_background,6,0,0.7065439672801636
baseline,car_horn_background,6,3,0.8631901840490798
noise-aware,car_horn_background,6,3,0.7822085889570553
baseline,car_horn_background,6,6,0.8928425357873211
noise-aware,car_horn_background,6,6,0.8413087934560327
baseline,car_horn_background,6,9,0.90920245398773
noise-aware,car_horn_background,6,9,0.8834355828220859
baseline,car_horn_background,6,12,0.9237218813905931
noise-aware,car_horn_background,6,12,0.9079754601226994
baseline,car_horn_background,6,15,0.9341513292433538
noise-aware,car_horn_background,6,15,0.9269938650306748
baseline,car_horn_background,6,18,0.9408997955010225
