model,noise_type,snr_train,epochs_1,epochs_2,epochs_3,epochs_4,epochs_5
baseline,car_horn_background,-3,0.7319018404907975,0.7505112474437627,0.7599182004089979,0.7588957055214723,0.7588957055214723
noise_aware,car_horn_background,-3,0.6247443762781186,0.6638036809815951,0.6920245398773006,0.716359918200409,0.7353783231083845
baseline,car_horn_background,0,0.8151329243353783,0.8214723926380368,0.8222903885480572,0.8229038854805726,0.8220858895705522
noise_aware,car_horn_background,0,0.7110429447852761,0.7447852760736197,0.7703476482617587,0.7899795501022495,0.8038854805725971
baseline,car_horn_background,3,0.8629856850715747,0.865439672801636,0.8670756646216768,0.8676891615541922,0.8648261758691207
noise_aware,car_horn_background,3,0.7877300613496933,0.808997955010225,0.8304703476482618,0.8425357873210634,0.8505112474437628
baseline,car_horn_background,6,0.8932515337423312,0.8940695296523518,0.8932515337423312,0.8932515337423312,0.8950920245398774
noise_aware,car_horn_background,6,0.8427402862985685,0.8586912065439672,0.8693251533742331,0.876482617586912,0.8832310838445808
baseline,car_horn_background,9,0.908997955010225,0.9106339468302659,0.9118609406952966,0.911042944785276,0.9106339468302659
noise_aware,car_horn_background,9,0.8834355828220859,0.8910020449897751,0.8995910020449898,0.9028629856850716,0.9065439672801636
baseline,car_horn_background,12,0.9229038854805726,0.9249488752556237,0.9257668711656442,0.9267893660531697,0.9267893660531697
noise_aware,car_horn_background,12,0.905521472392638,0.9112474437627812,0.9153374233128835,0.9171779141104295,0.9192229038854806
baseline,car_horn_background,15,0.9339468302658487,0.9349693251533743,0.9355828220858896,0.9355828220858896,0.9349693251533743
noise_aware,car_horn_background,15,0.9255623721881391,0.9310838445807771,0.9333333333333333,0.9347648261758691,0.9353783231083844
baseline,car_horn_background,18,0.9411042944785276,0.9415132924335379,0.941717791411043,0.9415132924335379,0.9415132924335379
noise_aware,car_horn_background,18,0.939877300613497,0.9406952965235174,0.9406952965235174,0.941922290388548,0.9429447852760736
baseline,car_horn_background,21,0.9429447852760736,0.9451942740286299,0.9433537832310839,0.9439672801635992,0.9439672801635992
noise_aware,car_horn_background,21,0.9447852760736196,0.9466257668711656,0.9480572597137015,0.9470347648261759,0.9474437627811861
baseline,car_horn_background,24,0.947239263803681,0.9478527607361963,0.9480572597137015,0.9486707566462168,0.9484662576687116
noise_aware,car_horn_background,24,0.9498977505112475,0.9507157464212679,0.9517382413087935,0.9525562372188139,0.9515337423312883
baseline,dog_bark_foreground,-3,0.840081799591002,0.8431492842535787,0.8451942740286299,0.8494887525562372,0.8539877300613496
noise_aware,dog_bark_foreground,-3,0.8361963190184049,0.8394683026584867,0.8423312883435583,0.84560327198364,0.8482617586912066
baseline,dog_bark_foreground,0,0.8717791411042944,0.8723926380368098,0.874642126789366,0.876482617586912,0.8770961145194274
