model,noise_type,snr_train,epochs_1,epochs_2,epochs_3,epochs_4,epochs_5
noise_aware,dog_bark_foreground,0,0.8668711656441718,0.8703476482617587,0.8717791411042944,0.874642126789366,0.8770961145194274
baseline,dog_bark_foreground,3,0.8936605316973415,0.8942740286298568,0.8955010224948875,0.8969325153374234,0.8965235173824131
noise_aware,dog_bark_foreground,3,0.8910020449897751,0.8914110429447852,0.8907975460122699,0.8922290388548058,0.8928425357873211
baseline,dog_bark_foreground,6,0.9122699386503067,0.912678936605317,0.9130879345603272,0.9118609406952966,0.9118609406952966
noise_aware,dog_bark_foreground,6,0.907157464212679,0.9067484662576687,0.9081799591002045,0.9075664621676892,0.9063394683026584
baseline,dog_bark_foreground,9,0.9259713701431492,0.9261758691206544,0.9267893660531697,0.9263803680981595,0.9259713701431492
noise_aware,dog_bark_foreground,9,0.9226993865030675,0.9235173824130879,0.9231083844580777,0.9208588957055215,0.9190184049079755
baseline,dog_bark_foreground,12,0.9359918200408998,0.9355828220858896,0.9359918200408998,0.9355828220858896,0.934560327198364
noise_aware,dog_bark_foreground,12,0.9357873210633947,0.9347648261758691,0.9347648261758691,0.9333333333333333,0.9316973415132924
baseline,dog_bark_foreground,15,0.9449897750511247,0.945398773006135,0.9445807770961145,0.9445807770961145,0.9441717791411043
noise_aware,dog_bark_foreground,15,0.9443762781186094,0.9443762781186094,0.9431492842535787,0.9427402862985685,0.9431492842535787
baseline,dog_bark_foreground,18,0.9498977505112475,0.9498977505112475,0.9498977505112475,0.9505112474437628,0.9501022494887525
noise_aware,dog_bark_foreground,18,0.9515337423312883,0.9517382413087935,0.9531697341513292,0.9527607361963191,0.9527607361963191
baseline,dog_bark_foreground,21,0.9529652351738241,0.9543967280163599,0.9550102249488752,0.9550102249488752,0.9548057259713701
noise_aware,dog_bark_foreground,21,0.9566462167689161,0.9568507157464212,0.9570552147239264,0.9574642126789366,0.9570552147239264
baseline,dog_bark_foreground,24,0.9556237218813906,0.9564417177914111,0.9570552147239264,0.9576687116564417,0.9576687116564417
noise_aware,dog_bark_foreground,24,0.959918200408998,0.9601226993865031,0.9601226993865031,0.959918200408998,0.9601226993865031
baseline,street_music_foreground,-3,0.2822085889570552,0.3030674846625767,0.3278118609406953,0.3492842535787321,0.3707566462167689
noise_aware,street_music_foreground,-3,0.3341513292433538,0.37423312883435583,0.41595092024539876,0.44785276073619634,0.4734151329243354
baseline,street_music_foreground,0,0.45296523517382414,0.4803680981595092,0.501840490797546,0.5231083844580777,0.540081799591002
noise_aware,street_music_foreground,0,0.5421267893660532,0.5797546012269938,0.6087934560327198,0.6284253578732106,0.6456032719836401
baseline,street_music_foreground,3,0.6476482617586912,0.6625766871165644,0.6760736196319018,0.692638036809816,0.7014314928425358
noise_aware,street_music_foreground,3,0.7220858895705522,0.7421267893660531,0.7578732106339469,0.769120654396728,0.7779141104294478
baseline,street_music_foreground,6,0.7828220858895706,0.7899795501022495,0.7952965235173824,0.8006134969325154,0.805521472392638
noise_aware,street_music_foreground,6,0.8331288343558282,0.839877300613497,0.8458077709611452,0.8533742331288343,0.854601226993865
baseline,street_music_foreground,9,0.86359918200409,0.8646216768916155,0.8678936605316974,0.870961145194274,0.8732106339468303
noise_aware,street_music_foreground,9,0.8862985685071575,0.8910020449897751,0.894478527607362,0.8955010224948875,0.896319018404908
baseline,street_music_foreground,12,0.905521472392638,0.905316973415133,0.9065439672801636,0.9061349693251534,0.9065439672801636
noise_aware,street_music_foreground,12,0.9118609406952966,0.9153374233128835,0.9155419222903886,0.9169734151329243,0.9177914110429448
baseline,street_music_foreground,15,0.9265848670756647,0.9255623721881391,0.9263803680981595,0.9257668711656442,0.9251533742331288
noise_aware,street_music_foreground,15,0.9265848670756647,0.9296523517382413,0.9302658486707567,0.9314928425357873,0.9312883435582822
baseline,street_music_foreground,18,0.9351738241308793,0.9355828220858896,0.9359918200408998,0.9355828220858896,0.9355828220858896
noise_aware,street_music_foreground,18,0.9353783231083844,0.9357873210633947,0.9376278118609407,0.9386503067484663,0.9390593047034764
baseline,street_music_foreground,21,0.9415132924335379,0.9431492842535787,0.9425357873210634,0.9415132924335379,0.9415132924335379
noise_aware,street_music_foreground,21,0.9429447852760736,0.9439672801635992,0.9449897750511247,0.9445807770961145,0.945398773006135
baseline,street_music_foreground,24,0.9456032719836401,0.9462167689161555,0.9460122699386503,0.9462167689161555,0.9456032719836401
noise_aware,street_music_foreground,24,0.9480572597137015,0.9494887525562372,0.9496932515337423,0.9498977505112475,0.9507157464212679
