model,noise_type,snr_train,epochs_1,epochs_2,epochs_3,epochs_4,epochs_5
baseline,car_horn_background,-3,0.7321063394683026,0.752760736196319,0.7662576687116565,0.7685071574642127,0.7699386503067485
noise_aware,car_horn_background,-3,0.6245398773006134,0.6613496932515337,0.6905930470347649,0.7122699386503067,0.727402862985685
baseline,car_horn_background,0,0.8171779141104294,0.8263803680981595,0.8290388548057259,0.8292433537832311,0.8302658486707567
noise_aware,car_horn_background,0,0.7120654396728017,0.7445807770961145,0.7697341513292434,0.7903885480572597,0.8026584867075665
baseline,car_horn_background,3,0.8625766871165644,0.8680981595092024,0.8699386503067484,0.870961145194274,0.8697341513292434
noise_aware,car_horn_background,3,0.7887525562372188,0.8143149284253579,0.8314928425357874,0.8462167689161554,0.8564417177914111
baseline,car_horn_background,6,0.8934560327198364,0.8924335378323108,0.8926380368098159,0.8922290388548058,0.8922290388548058
noise_aware,car_horn_background,6,0.8443762781186094,0.8607361963190184,0.872597137014315,0.880163599182004,0.8856850715746422
baseline,car_horn_background,9,0.9083844580777096,0.9094069529652352,0.9106339468302659,0.9118609406952966,0.9114519427402863
noise_aware,car_horn_background,9,0.8846625766871166,0.8922290388548058,0.9004089979550102,0.9042944785276074,0.90920245398773
baseline,car_horn_background,12,0.9231083844580777,0.9235173824130879,0.9245398773006135,0.9249488752556237,0.9241308793456032
noise_aware,car_horn_background,12,0.9081799591002045,0.9139059304703476,0.9177914110429448,0.9214723926380368,0.9235173824130879
baseline,car_horn_background,15,0.932719836400818,0.9337423312883436,0.9331288343558283,0.9331288343558283,0.932719836400818
noise_aware,car_horn_background,15,0.9263803680981595,0.930879345603272,0.932719836400818,0.9357873210633947,0.9368098159509203
baseline,car_horn_background,18,0.9411042944785276,0.941717791411043,0.9415132924335379,0.9421267893660532,0.9421267893660532
noise_aware,car_horn_background,18,0.940081799591002,0.9408997955010225,0.9408997955010225,0.941717791411043,0.9425357873210634
baseline,car_horn_background,21,0.9429447852760736,0.9441717791411043,0.9441717791411043,0.9433537832310839,0.9431492842535787
noise_aware,car_horn_background,21,0.9460122699386503,0.9470347648261759,0.9476482617586912,0.9480572597137015,0.9482617586912065
baseline,car_horn_background,24,0.947239263803681,0.9478527607361963,0.9480572597137015,0.9476482617586912,0.947239263803681
noise_aware,car_horn_background,24,0.9511247443762781,0.9517382413087935,0.9527607361963191,0.9527607361963191,0.9527607361963191
baseline,dog_bark_foreground,-3,0.8423312883435583,0.8466257668711656,0.8515337423312883,0.8586912065439672,0.8617586912065439
noise_aware,dog_bark_foreground,-3,0.8384458077709611,0.8431492842535787,0.8470347648261759,0.8517382413087935,0.8552147239263803
baseline,dog_bark_foreground,0,0.8721881390593047,0.8773006134969326,0.8795501022494887,0.8809815950920246,0.881799591002045
noise_aware,dog_bark_foreground,0,0.869120654396728,0.8736196319018404,0.8752556237218814,0.8785276073619632,0.8791411042944786
baseline,dog_bark_foreground,3,0.8952965235173824,0.8959100204498978,0.8973415132924335,0.898159509202454,0.8985685071574642
noise_aware,dog_bark_foreground,3,0.8934560327198364,0.8959100204498978,0.8971370143149284,0.8977505112474438,0.9008179959100204
baseline,dog_bark_foreground,6,0.9130879345603272,0.9139059304703476,0.9153374233128835,0.9153374233128835,0.9173824130879346
noise_aware,dog_bark_foreground,6,0.9098159509202454,0.9112474437627812,0.9118609406952966,0.9120654396728016,0.9116564417177914
baseline,dog_bark_foreground,9,0.9265848670756647,0.9278118609406953,0.9286298568507158,0.929038854805726,0.9298568507157464
noise_aware,dog_bark_foreground,9,0.9229038854805726,0.9226993865030675,0.9229038854805726,0.9226993865030675,0.9231083844580777
baseline,dog_bark_foreground,12,0.9361963190184049,0.93640081799591,0.9366053169734151,0.938241308793456,0.9378323108384458
noise_aware,dog_bark_foreground,12,0.934560327198364,0.9343558282208589,0.934560327198364,0.9339468302658487,0.9341513292433538
baseline,dog_bark_foreground,15,0.9458077709611452,0.9458077709611452,0.9466257668711656,0.9466257668711656,0.9460122699386503
