model,noise_type,snr_train,epochs_1,epochs_2,epochs_3,epochs_4,epochs_5
noise_aware,dog_bark_foreground,15,0.9451942740286299,0.9458077709611452,0.9451942740286299,0.9462167689161555,0.9460122699386503
baseline,dog_bark_foreground,18,0.9496932515337423,0.9496932515337423,0.9507157464212679,0.950920245398773,0.9511247443762781
noise_aware,dog_bark_foreground,18,0.9515337423312883,0.9515337423312883,0.9531697341513292,0.9531697341513292,0.9531697341513292
baseline,dog_bark_foreground,21,0.9539877300613497,0.9548057259713701,0.9548057259713701,0.9554192229038855,0.9560327198364008
noise_aware,dog_bark_foreground,21,0.9560327198364008,0.9564417177914111,0.9570552147239264,0.9570552147239264,0.9574642126789366
baseline,dog_bark_foreground,24,0.9568507157464212,0.9574642126789366,0.9578732106339468,0.9572597137014315,0.9574642126789366
noise_aware,dog_bark_foreground,24,0.9603271983640081,0.9595092024539877,0.9591002044989775,0.9593047034764827,0.9595092024539877
baseline,street_music_foreground,-3,0.2770961145194274,0.29243353783231085,0.31104294478527605,0.330879345603272,0.34846625766871164
noise_aware,street_music_foreground,-3,0.33169734151329244,0.3703476482617587,0.40429447852760736,0.4306748466257669,0.46094069529652354
baseline,street_music_foreground,0,0.4441717791411043,0.46462167689161554,0.4852760736196319,0.5022494887525563,0.5192229038854805
noise_aware,street_music_foreground,0,0.5404907975460123,0.5725971370143149,0.5995910020449898,0.6190184049079754,0.6349693251533742
baseline,street_music_foreground,3,0.6439672801635992,0.6578732106339469,0.6728016359918201,0.6860940695296524,0.6979550102249489
noise_aware,street_music_foreground,3,0.7212678936605317,0.7398773006134969,0.7531697341513293,0.7654396728016359,0.7703476482617587
baseline,street_music_foreground,6,0.7824130879345603,0.7903885480572597,0.7959100204498978,0.8040899795501022,0.8122699386503067
noise_aware,street_music_foreground,6,0.8310838445807771,0.840081799591002,0.8464212678936606,0.8531697341513292,0.8556237218813906
baseline,street_music_foreground,9,0.8631901840490798,0.8662576687116564,0.8701431492842536,0.8742331288343558,0.8756646216768916
noise_aware,street_music_foreground,9,0.8862985685071575,0.8920245398773006,0.8942740286298568,0.8967280163599182,0.8975460122699387
baseline,street_music_foreground,12,0.9061349693251534,0.9077709611451943,0.9069529652351738,0.908997955010225,0.9087934560327199
noise_aware,street_music_foreground,12,0.9120654396728016,0.9161554192229039,0.9161554192229039,0.9171779141104295,0.9188139059304703
baseline,street_music_foreground,15,0.9274028629856851,0.9269938650306748,0.9261758691206544,0.9267893660531697,0.9261758691206544
noise_aware,street_music_foreground,15,0.9274028629856851,0.9292433537832311,0.929038854805726,0.9302658486707567,0.9302658486707567
baseline,street_music_foreground,18,0.9359918200408998,0.934560327198364,0.9339468302658487,0.9331288343558283,0.9337423312883436
noise_aware,street_music_foreground,18,0.9355828220858896,0.93640081799591,0.9384458077709611,0.9386503067484663,0.9384458077709611
baseline,street_music_foreground,21,0.9411042944785276,0.9402862985685072,0.9394683026584867,0.9390593047034764,0.9390593047034764
noise_aware,street_music_foreground,21,0.9431492842535787,0.943762781186094,0.9447852760736196,0.945398773006135,0.9456032719836401
baseline,street_music_foreground,24,0.9456032719836401,0.947239263803681,0.9458077709611452,0.9456032719836401,0.9449897750511247
noise_aware,street_music_foreground,24,0.9484662576687116,0.9488752556237219,0.9492842535787321,0.949079754601227,0.9494887525562372
