seed,noise_percentage,noise_test,accuracy,noise_snr
4,20,pink,0.8488752556237219,3.0
5,20,pink,0.8451942740286299,3.0
6,20,pink,0.8411042944785276,3.0
7,20,pink,0.8531697341513292,3.0
8,20,pink,0.847443762781186,3.0
9,20,pink,0.8529652351738242,3.0
10,20,pink,0.8468302658486707,3.0
11,20,pink,0.8443762781186094,3.0
12,20,pink,0.8552147239263803,3.0
13,20,pink,0.8480572597137014,3.0
14,20,pink,0.8513292433537832,3.0
15,20,pink,0.8445807770961146,3.0
16,20,pink,0.8505112474437628,3.0
17,20,pink,0.8458077709611452,3.0
18,20,pink,0.8443762781186094,3.0
19,20,pink,0.8439672801635992,3.0
20,20,pink,0.850920245398773,3.0
21,20,pink,0.8503067484662576,3.0
22,20,pink,0.8476482617586912,3.0
23,20,pink,0.8443762781186094,3.0
24,20,pink,0.8517382413087935,3.0
0,20,pink,0.7997955010224949,0.0
1,20,pink,0.8057259713701431,0.0
2,20,pink,0.811042944785276,0.0
3,20,pink,0.8122699386503067,0.0
4,20,pink,0.8130879345603272,0.0
5,20,pink,0.7948875255623722,0.0
6,20,pink,0.8006134969325154,0.0
7,20,pink,0.801840490797546,0.0
8,20,pink,0.8006134969325154,0.0
9,20,pink,0.8020449897750511,0.0
10,20,pink,0.8004089979550102,0.0
11,20,pink,0.8034764826175869,0.0
12,20,pink,0.8085889570552147,0.0
13,20,pink,0.8134969325153374,0.0
14,20,pink,0.8059304703476483,0.0
15,20,pink,0.8022494887525562,0.0
16,20,pink,0.807361963190184,0.0
17,20,pink,0.8153374233128834,0.0
18,20,pink,0.80920245398773,0.0
19,20,pink,0.7957055214723926,0.0
20,20,pink,0.807157464212679,0.0
21,20,pink,0.805316973415133,0.0
22,20,pink,0.805521472392638,0.0
23,20,pink,0.8057259713701431,0.0
24,20,pink,0.8120654396728016,0.0
0,20,pink,0.7271983640081799,-3.0
1,20,pink,0.7372188139059305,-3.0
2,20,pink,0.7331288343558282,-3.0
3,20,pink,0.7394683026584867,-3.0
4,20,pink,0.7386503067484662,-3.0
5,20,pink,0.7341513292433538,-3.0
6,20,pink,0.7349693251533742,-3.0
7,20,pink,0.7325153374233129,-3.0
8,20,pink,0.7220858895705522,-3.0
9,20,pink,0.7321063394683026,-3.0
10,20,pink,0.7282208588957055,-3.0
11,20,pink,0.7456032719836401,-3.0
12,20,pink,0.7415132924335378,-3.0
13,20,pink,0.7451942740286298,-3.0
14,20,pink,0.7339468302658486,-3.0
15,20,pink,0.7331288343558282,-3.0
16,20,pink,0.7302658486707566,-3.0
17,20,pink,0.7376278118609407,-3.0
18,20,pink,0.7402862985685071,-3.0
19,20,pink,0.7267893660531697,-3.0
20,20,pink,0.7411042944785277,-3.0
21,20,pink,0.7233128834355829,-3.0
22,20,pink,0.7425357873210634,-3.0
23,20,pink,0.7231083844580777,-3.0
24,20,pink,0.7298568507157465,-3.0
0,20,babble,0.9562372188139059,24.0
1,20,babble,0.9548057259713701,24.0
2,20,babble,0.9562372188139059,24.0
3,20,babble,0.9576687116564417,24.0
4,20,babble,0.9556237218813906,24.0
5,20,babble,0.9574642126789366,24.0
6,20,babble,0.9543967280163599,24.0
7,20,babble,0.9566462167689161,24.0
8,20,babble,0.9535787321063395,24.0
9,20,babble,0.9568507157464212,24.0
10,20,babble,0.9537832310838446,24.0
11,20,babble,0.9564417177914111,24.0
12,20,babble,0.9574642126789366,24.0
13,20,babble,0.9554192229038855,24.0
14,20,babble,0.9552147239263804,24.0
15,20,babble,0.9556237218813906,24.0
16,20,babble,0.9570552147239264,24.0
17,20,babble,0.9572597137014315,24.0
18,20,babble,0.9543967280163599,24.0
19,20,babble,0.9552147239263804,24.0
20,20,babble,0.9556237218813906,24.0
