model,noise_type,snr_train,epochs_1,epochs_2,epochs_3,epochs_4,epochs_5
baseline,car_horn_background,-3,0.7341513292433538,0.7562372188139059,0.7664621676891615,0.7668711656441718,0.7648261758691206
noise_aware,car_horn_background,-3,0.6210633946830266,0.6556237218813906,0.6834355828220859,0.7071574642126789,0.7226993865030675
baseline,car_horn_background,0,0.8165644171779141,0.8229038854805726,0.8249488752556238,0.8255623721881391,0.8226993865030675
noise_aware,car_horn_background,0,0.712678936605317,0.7464212678936605,0.7713701431492842,0.7862985685071575,0.8010224948875255
baseline,car_horn_background,3,0.8629856850715747,0.8705521472392638,0.8713701431492843,0.8699386503067484,0.8646216768916155
noise_aware,car_horn_background,3,0.7889570552147239,0.8147239263803681,0.8341513292433538,0.845398773006135,0.854601226993865
baseline,car_horn_background,6,0.8952965235173824,0.8952965235173824,0.8967280163599182,0.8973415132924335,0.8965235173824131
noise_aware,car_horn_background,6,0.843558282208589,0.8621676891615542,0.8723926380368098,0.878323108384458,0.8858895705521472
baseline,car_horn_background,9,0.9100204498977505,0.9114519427402863,0.9132924335378323,0.9149284253578732,0.9149284253578732
noise_aware,car_horn_background,9,0.8838445807770962,0.8916155419222904,0.8993865030674847,0.9040899795501023,0.9081799591002045
baseline,car_horn_background,12,0.9233128834355828,0.9253578732106339,0.9255623721881391,0.9257668711656442,0.9253578732106339
noise_aware,car_horn_background,12,0.9063394683026584,0.9116564417177914,0.9149284253578732,0.9186094069529652,0.9200408997955011
baseline,car_horn_background,15,0.9337423312883436,0.934560327198364,0.9331288343558283,0.9323108384458078,0.9312883435582822
noise_aware,car_horn_background,15,0.9261758691206544,0.9288343558282208,0.9325153374233128,0.9355828220858896,0.9361963190184049
baseline,car_horn_background,18,0.9408997955010225,0.9411042944785276,0.9408997955010225,0.9411042944785276,0.9392638036809816
noise_aware,car_horn_background,18,0.9394683026584867,0.9406952965235174,0.9404907975460123,0.9413087934560327,0.9421267893660532
baseline,car_horn_background,21,0.943558282208589,0.9439672801635992,0.943762781186094,0.943558282208589,0.9425357873210634
noise_aware,car_horn_background,21,0.9466257668711656,0.9480572597137015,0.9488752556237219,0.9484662576687116,0.9484662576687116
baseline,car_horn_background,24,0.9486707566462168,0.9498977505112475,0.9494887525562372,0.9482617586912065,0.9478527607361963
noise_aware,car_horn_background,24,0.9515337423312883,0.9527607361963191,0.9535787321063395,0.9539877300613497,0.9525562372188139
baseline,dog_bark_foreground,-3,0.8406952965235174,0.84560327198364,0.847239263803681,0.8507157464212679,0.8539877300613496
noise_aware,dog_bark_foreground,-3,0.8378323108384458,0.8394683026584867,0.84560327198364,0.8466257668711656,0.8468302658486707
baseline,dog_bark_foreground,0,0.8713701431492843,0.8738241308793456,0.8758691206543967,0.876278118609407,0.876482617586912
noise_aware,dog_bark_foreground,0,0.8678936605316974,0.87280163599182,0.8756646216768916,0.876278118609407,0.8760736196319019
baseline,dog_bark_foreground,3,0.8940695296523518,0.8942740286298568,0.8952965235173824,0.8961145194274028,0.8959100204498978
noise_aware,dog_bark_foreground,3,0.8924335378323108,0.8955010224948875,0.8952965235173824,0.8952965235173824,0.8948875255623722
baseline,dog_bark_foreground,6,0.9124744376278119,0.9130879345603272,0.9124744376278119,0.912678936605317,0.9122699386503067
noise_aware,dog_bark_foreground,6,0.9087934560327199,0.9100204498977505,0.9102249488752556,0.90920245398773,0.9081799591002045
baseline,dog_bark_foreground,9,0.9253578732106339,0.9263803680981595,0.9284253578732107,0.9284253578732107,0.9282208588957055
noise_aware,dog_bark_foreground,9,0.9235173824130879,0.9239263803680982,0.9237218813905931,0.9231083844580777,0.9224948875255624
baseline,dog_bark_foreground,12,0.9355828220858896,0.9359918200408998,0.9370143149284254,0.9372188139059304,0.9368098159509203
noise_aware,dog_bark_foreground,12,0.9351738241308793,0.9349693251533743,0.934560327198364,0.934560327198364,0.9347648261758691
baseline,dog_bark_foreground,15,0.9451942740286299,0.9449897750511247,0.9447852760736196,0.9456032719836401,0.9456032719836401
noise_aware,dog_bark_foreground,15,0.945398773006135,0.9449897750511247,0.9445807770961145,0.9445807770961145,0.9460122699386503
baseline,dog_bark_foreground,18,0.9494887525562372,0.9503067484662576,0.9523517382413088,0.9525562372188139,0.9529652351738241
noise_aware,dog_bark_foreground,18,0.9531697341513292,0.9537832310838446,0.9552147239263804,0.9546012269938651,0.9550102249488752
baseline,dog_bark_foreground,21,0.9535787321063395,0.9546012269938651,0.9550102249488752,0.9552147239263804,0.9556237218813906
noise_aware,dog_bark_foreground,21,0.9564417177914111,0.9572597137014315,0.9574642126789366,0.9578732106339468,0.9580777096114519
baseline,dog_bark_foreground,24,0.9568507157464212,0.9564417177914111,0.9574642126789366,0.9578732106339468,0.9572597137014315
noise_aware,dog_bark_foreground,24,0.959918200408998,0.9595092024539877,0.9593047034764827,0.9595092024539877,0.9601226993865031
baseline,street_music_foreground,-3,0.281799591002045,0.3032719836400818,0.3310838445807771,0.3525562372188139,0.3707566462167689
noise_aware,street_music_foreground,-3,0.3374233128834356,0.38261758691206543,0.4194274028629857,0.4492842535787321,0.4736196319018405
baseline,street_music_foreground,0,0.4498977505112474,0.4787321063394683,0.5047034764826176,0.5261758691206544,0.5415132924335379
noise_aware,street_music_foreground,0,0.550920245398773,0.591002044989775,0.619836400817996,0.6402862985685072,0.654601226993865
baseline,street_music_foreground,3,0.647239263803681,0.669120654396728,0.6860940695296524,0.698159509202454,0.7053169734151329
noise_aware,street_music_foreground,3,0.7288343558282209,0.749079754601227,0.7640081799591002,0.776278118609407,0.7807770961145194
baseline,street_music_foreground,6,0.7838445807770961,0.7922290388548058,0.7959100204498978,0.8032719836400818,0.8061349693251534
noise_aware,street_music_foreground,6,0.8347648261758691,0.845398773006135,0.8519427402862986,0.8556237218813906,0.8580777096114519
baseline,street_music_foreground,9,0.8644171779141104,0.8674846625766871,0.870756646216769,0.8719836400817996,0.8717791411042944
noise_aware,street_music_foreground,9,0.8875255623721882,0.8936605316973415,0.8955010224948875,0.8969325153374234,0.8985685071574642
baseline,street_music_foreground,12,0.9051124744376278,0.9067484662576687,0.907361963190184,0.9065439672801636,0.9077709611451943
noise_aware,street_music_foreground,12,0.9122699386503067,0.9157464212678936,0.916359918200409,0.9196319018404908,0.9204498977505112
baseline,street_music_foreground,15,0.92719836400818,0.9282208588957055,0.9286298568507158,0.9267893660531697,0.9253578732106339
noise_aware,street_music_foreground,15,0.9282208588957055,0.9282208588957055,0.9292433537832311,0.9292433537832311,0.9302658486707567
baseline,street_music_foreground,18,0.9351738241308793,0.9353783231083844,0.93640081799591,0.9355828220858896,0.9341513292433538
noise_aware,street_music_foreground,18,0.9357873210633947,0.9374233128834356,0.9390593047034764,0.940081799591002,0.9402862985685072
baseline,street_music_foreground,21,0.9413087934560327,0.9423312883435583,0.9421267893660532,0.9413087934560327,0.9408997955010225
noise_aware,street_music_foreground,21,0.943558282208589,0.9449897750511247,0.9464212678936605,0.947239263803681,0.9470347648261759
baseline,street_music_foreground,24,0.9462167689161555,0.9478527607361963,0.9464212678936605,0.9464212678936605,0.9470347648261759
noise_aware,street_music_foreground,24,0.9486707566462168,0.9505112474437628,0.9517382413087935,0.9521472392638037,0.9523517382413088
