model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,-3,-3,0.7347648261758691
noise-aware,car_horn_background,-3,-3,0.6231083844580777
baseline,car_horn_background,-3,0,0.8186094069529652
noise-aware,car_horn_background,-3,0,0.7114519427402863
baseline,car_horn_background,-3,3,0.8670756646216768
noise-aware,car_horn_background,-3,3,0.7895705521472393
baseline,car_horn_background,-3,6,0.8938650306748466
noise-aware,car_horn_background,-3,6,0.8441717791411043
baseline,car_horn_background,-3,9,0.90920245398773
noise-aware,car_horn_background,-3,9,0.8860940695296523
baseline,car_horn_background,-3,12,0.9243353783231084
noise-aware,car_horn_background,-3,12,0.9087934560327199
baseline,car_horn_background,-3,15,0.932719836400818
noise-aware,car_horn_background,-3,15,0.9304703476482618
baseline,car_horn_background,-3,18,0.9394683026584867
noise-aware,car_horn_background,-3,18,0.9402862985685072
baseline,car_horn_background,-3,21,0.9427402862985685
noise-aware,car_horn_background,-3,21,0.9478527607361963
baseline,car_horn_background,-3,24,0.9476482617586912
noise-aware,car_horn_background,-3,24,0.9515337423312883
baseline,car_horn_background,0,-3,0.7304703476482618
noise-aware,car_horn_background,0,-3,0.6239263803680981
baseline,car_horn_background,0,0,0.8173824130879346
noise-aware,car_horn_background,0,0,0.7132924335378323
baseline,car_horn_background,0,3,0.8640081799591002
noise-aware,car_horn_background,0,3,0.7899795501022495
baseline,car_horn_background,0,6,0.894478527607362
noise-aware,car_horn_background,0,6,0.8439672801635992
baseline,car_horn_background,0,9,0.9083844580777096
noise-aware,car_horn_background,0,9,0.885480572597137
baseline,car_horn_background,0,12,0.9241308793456032
noise-aware,car_horn_background,0,12,0.9081799591002045
baseline,car_horn_background,0,15,0.9335378323108384
noise-aware,car_horn_background,0,15,0.9294478527607362
baseline,car_horn_background,0,18,0.9402862985685072
noise-aware,car_horn_background,0,18,0.940081799591002
baseline,car_horn_background,0,21,0.9429447852760736
noise-aware,car_horn_background,0,21,0.947239263803681
baseline,car_horn_background,0,24,0.9476482617586912
noise-aware,car_horn_background,0,24,0.9511247443762781
baseline,car_horn_background,3,-3,0.725562372188139
noise-aware,car_horn_background,3,-3,0.6231083844580777
baseline,car_horn_background,3,0,0.8165644171779141
noise-aware,car_horn_background,3,0,0.7147239263803681
baseline,car_horn_background,3,3,0.8631901840490798
noise-aware,car_horn_background,3,3,0.789161554192229
baseline,car_horn_background,3,6,0.8936605316973415
noise-aware,car_horn_background,3,6,0.8449897750511247
baseline,car_horn_background,3,9,0.9087934560327199
noise-aware,car_horn_background,3,9,0.8850715746421268
baseline,car_horn_background,3,12,0.9235173824130879
noise-aware,car_horn_background,3,12,0.9077709611451943
baseline,car_horn_background,3,15,0.9337423312883436
noise-aware,car_horn_background,3,15,0.9296523517382413
baseline,car_horn_background,3,18,0.9411042944785276
noise-aware,car_horn_background,3,18,0.939877300613497
baseline,car_horn_background,3,21,0.9439672801635992
noise-aware,car_horn_background,3,21,0.9468302658486708
baseline,car_horn_background,3,24,0.9476482617586912
noise-aware,car_horn_background,3,24,0.9515337423312883
baseline,car_horn_background,6,-3,0.7202453987730061
noise-aware,car_horn_background,6,-3,0.6206543967280164
