noise_percentage,noise_test,accuracy,noise_snr
80,white,0.8079754601226994,-3.0
80,pink,0.9449897750511247,24.0
80,pink,0.939877300613497,21.0
80,pink,0.9347648261758691,18.0
80,pink,0.9253578732106339,15.0
80,pink,0.9194274028629856,12.0
80,pink,0.9030674846625767,9.0
80,pink,0.8903885480572598,6.0
80,pink,0.8601226993865031,3.0
80,pink,0.8222903885480572,0.0
80,pink,0.7809815950920246,-3.0
80,babble,0.9529652351738241,24.0
80,babble,0.950920245398773,21.0
80,babble,0.9474437627811861,18.0
80,babble,0.9421267893660532,15.0
80,babble,0.9355828220858896,12.0
80,babble,0.9233128834355828,9.0
80,babble,0.9116564417177914,6.0
80,babble,0.8916155419222904,3.0
80,babble,0.8537832310838446,0.0
80,babble,0.7889570552147239,-3.0
80,kitchen,0.9529652351738241,24.0
80,kitchen,0.9515337423312883,21.0
80,kitchen,0.9488752556237219,18.0
80,kitchen,0.9445807770961145,15.0
80,kitchen,0.9404907975460123,12.0
80,kitchen,0.9341513292433538,9.0
80,kitchen,0.9292433537832311,6.0
80,kitchen,0.9239263803680982,3.0
80,kitchen,0.9157464212678936,0.0
80,kitchen,0.9049079754601227,-3.0
80,office,0.9533742331288344,24.0
80,office,0.9539877300613497,21.0
80,office,0.9523517382413088,18.0
80,office,0.9515337423312883,15.0
80,office,0.9494887525562372,12.0
80,office,0.9476482617586912,9.0
80,office,0.9425357873210634,6.0
80,office,0.9408997955010225,3.0
80,office,0.934560327198364,0.0
80,office,0.9288343558282208,-3.0
80,living,0.9529652351738241,24.0
80,living,0.9529652351738241,21.0
80,living,0.9519427402862985,18.0
80,living,0.9492842535787321,15.0
80,living,0.9470347648261759,12.0
80,living,0.9425357873210634,9.0
80,living,0.9343558282208589,6.0
80,living,0.9231083844580777,3.0
80,living,0.901635991820041,0.0
80,living,0.8723926380368098,-3.0
100,Noiseless,0.9584867075664621,
100,white,0.950920245398773,24.0
100,white,0.9451942740286299,21.0
100,white,0.943558282208589,18.0
100,white,0.9335378323108384,15.0
100,white,0.9280163599182004,12.0
100,white,0.9218813905930471,9.0
100,white,0.9061349693251534,6.0
100,white,0.8877300613496932,3.0
100,white,0.8683026584867075,0.0
100,white,0.8271983640081799,-3.0
100,pink,0.9462167689161555,24.0
100,pink,0.9443762781186094,21.0
100,pink,0.9396728016359919,18.0
100,pink,0.9355828220858896,15.0
100,pink,0.9265848670756647,12.0
100,pink,0.911042944785276,9.0
100,pink,0.8920245398773006,6.0
100,pink,0.8736196319018404,3.0
100,pink,0.8386503067484663,0.0
100,pink,0.7889570552147239,-3.0
100,babble,0.9548057259713701,24.0
100,babble,0.9527607361963191,21.0
100,babble,0.9496932515337423,18.0
100,babble,0.9466257668711656,15.0
100,babble,0.9413087934560327,12.0
100,babble,0.9316973415132924,9.0
100,babble,0.916359918200409,6.0
100,babble,0.8950920245398774,3.0
100,babble,0.8591002044989775,0.0
100,babble,0.7950920245398773,-3.0
100,kitchen,0.9556237218813906,24.0
100,kitchen,0.9535787321063395,21.0
100,kitchen,0.9525562372188139,18.0
100,kitchen,0.9486707566462168,15.0
100,kitchen,0.9458077709611452,12.0
100,kitchen,0.9406952965235174,9.0
100,kitchen,0.9353783231083844,6.0
100,kitchen,0.9302658486707567,3.0
100,kitchen,0.9243353783231084,0.0
100,kitchen,0.912678936605317,-3.0
100,office,0.9566462167689161,24.0
100,office,0.9568507157464212,21.0
100,office,0.9562372188139059,18.0
100,office,0.9546012269938651,15.0
100,office,0.9533742331288344,12.0
100,office,0.9505112474437628,9.0
100,office,0.9480572597137015,6.0
100,office,0.9451942740286299,3.0
100,office,0.9423312883435583,0.0
100,office,0.9394683026584867,-3.0
100,living,0.9552147239263804,24.0
100,living,0.9529652351738241,21.0
100,living,0.9533742331288344,18.0
100,living,0.9492842535787321,15.0
100,living,0.9449897750511247,12.0
100,living,0.943762781186094,9.0
100,living,0.9372188139059304,6.0
100,living,0.9310838445807771,3.0
100,living,0.9118609406952966,0.0
100,living,0.8920245398773006,-3.0
