model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,-3,-3,0.7245398773006135
noise-aware,car_horn_background,-3,-3,0.6165644171779141
baseline,car_horn_background,-3,0,0.8149284253578732
noise-aware,car_horn_background,-3,0,0.7040899795501022
baseline,car_horn_background,-3,3,0.8640081799591002
noise-aware,car_horn_background,-3,3,0.7848670756646217
baseline,car_horn_background,-3,6,0.8940695296523518
noise-aware,car_horn_background,-3,6,0.8421267893660531
baseline,car_horn_background,-3,9,0.90920245398773
noise-aware,car_horn_background,-3,9,0.8834355828220859
baseline,car_horn_background,-3,12,0.9226993865030675
noise-aware,car_horn_background,-3,12,0.9081799591002045
baseline,car_horn_background,-3,15,0.9329243353783231
noise-aware,car_horn_background,-3,15,0.9286298568507158
baseline,car_horn_background,-3,18,0.940081799591002
noise-aware,car_horn_background,-3,18,0.939877300613497
baseline,car_horn_background,-3,21,0.9431492842535787
noise-aware,car_horn_background,-3,21,0.9470347648261759
baseline,car_horn_background,-3,24,0.9482617586912065
noise-aware,car_horn_background,-3,24,0.9515337423312883
baseline,car_horn_background,0,-3,0.7212678936605317
noise-aware,car_horn_background,0,-3,0.616359918200409
baseline,car_horn_background,0,0,0.8122699386503067
noise-aware,car_horn_background,0,0,0.7044989775051125
baseline,car_horn_background,0,3,0.8638036809815951
noise-aware,car_horn_background,0,3,0.7844580777096114
baseline,car_horn_background,0,6,0.8946830265848671
noise-aware,car_horn_background,0,6,0.841717791411043
baseline,car_horn_background,0,9,0.9085889570552147
noise-aware,car_horn_background,0,9,0.8834355828220859
baseline,car_horn_background,0,12,0.9224948875255624
noise-aware,car_horn_background,0,12,0.9077709611451943
baseline,car_horn_background,0,15,0.9339468302658487
noise-aware,car_horn_background,0,15,0.9292433537832311
baseline,car_horn_background,0,18,0.9404907975460123
noise-aware,car_horn_background,0,18,0.9394683026584867
baseline,car_horn_background,0,21,0.9433537832310839
noise-aware,car_horn_background,0,21,0.9466257668711656
baseline,car_horn_background,0,24,0.9484662576687116
noise-aware,car_horn_background,0,24,0.9517382413087935
baseline,car_horn_background,3,-3,0.7165644171779141
noise-aware,car_horn_background,3,-3,0.6122699386503068
baseline,car_horn_background,3,0,0.8096114519427403
noise-aware,car_horn_background,3,0,0.7026584867075665
baseline,car_horn_background,3,3,0.8627811860940695
noise-aware,car_horn_background,3,3,0.7805725971370143
baseline,car_horn_background,3,6,0.8938650306748466
noise-aware,car_horn_background,3,6,0.8388548057259714
baseline,car_horn_background,3,9,0.9085889570552147
noise-aware,car_horn_background,3,9,0.8824130879345603
baseline,car_horn_background,3,12,0.9218813905930471
noise-aware,car_horn_background,3,12,0.907361963190184
baseline,car_horn_background,3,15,0.9337423312883436
noise-aware,car_horn_background,3,15,0.9282208588957055
baseline,car_horn_background,3,18,0.9413087934560327
noise-aware,car_horn_background,3,18,0.939877300613497
baseline,car_horn_background,3,21,0.943558282208589
noise-aware,car_horn_background,3,21,0.9474437627811861
baseline,car_horn_background,3,24,0.9482617586912065
noise-aware,car_horn_background,3,24,0.9513292433537832
baseline,car_horn_background,6,-3,0.7122699386503067
noise-aware,car_horn_background,6,-3,0.6085889570552148
baseline,car_horn_background,6,0,0.8075664621676891
noise-aware,car_horn_background,6,0,0.698159509202454
baseline,car_horn_background,6,3,0.8611451942740286
noise-aware,car_horn_background,6,3,0.776278118609407
baseline,car_horn_background,6,6,0.8918200408997955
noise-aware,car_horn_background,6,6,0.8361963190184049
baseline,car_horn_background,6,9,0.9085889570552147
noise-aware,car_horn_background,6,9,0.8805725971370143
baseline,car_horn_background,6,12,0.9220858895705522
noise-aware,car_horn_background,6,12,0.9057259713701431
baseline,car_horn_background,6,15,0.9337423312883436
noise-aware,car_horn_background,6,15,0.9263803680981595
baseline,car_horn_background,6,18,0.9406952965235174
noise-aware,car_horn_background,6,18,0.940081799591002
baseline,car_horn_background,6,21,0.9433537832310839
noise-aware,car_horn_background,6,21,0.9468302658486708
baseline,car_horn_background,6,24,0.9480572597137015
noise-aware,car_horn_background,6,24,0.950920245398773
