model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,-3,-3,0.732719836400818
noise-aware,car_horn_background,-3,-3,0.6184049079754601
baseline,car_horn_background,-3,0,0.8175869120654397
noise-aware,car_horn_background,-3,0,0.7059304703476482
baseline,car_horn_background,-3,3,0.8640081799591002
noise-aware,car_horn_background,-3,3,0.7871165644171779
baseline,car_horn_background,-3,6,0.8940695296523518
noise-aware,car_horn_background,-3,6,0.8415132924335378
baseline,car_horn_background,-3,9,0.9094069529652352
noise-aware,car_horn_background,-3,9,0.8826175869120655
baseline,car_horn_background,-3,12,0.9243353783231084
noise-aware,car_horn_background,-3,12,0.9079754601226994
baseline,car_horn_background,-3,15,0.9335378323108384
noise-aware,car_horn_background,-3,15,0.9294478527607362
baseline,car_horn_background,-3,18,0.9402862985685072
noise-aware,car_horn_background,-3,18,0.9394683026584867
baseline,car_horn_background,-3,21,0.9429447852760736
noise-aware,car_horn_background,-3,21,0.9470347648261759
baseline,car_horn_background,-3,24,0.9474437627811861
noise-aware,car_horn_background,-3,24,0.950920245398773
baseline,car_horn_background,0,-3,0.7278118609406953
noise-aware,car_horn_background,0,-3,0.6214723926380368
baseline,car_horn_background,0,0,0.8171779141104294
noise-aware,car_horn_background,0,0,0.7102249488752557
baseline,car_horn_background,0,3,0.86359918200409
noise-aware,car_horn_background,0,3,0.787321063394683
baseline,car_horn_background,0,6,0.8940695296523518
noise-aware,car_horn_background,0,6,0.843558282208589
baseline,car_horn_background,0,9,0.9094069529652352
noise-aware,car_horn_background,0,9,0.8848670756646216
baseline,car_horn_background,0,12,0.9241308793456032
noise-aware,car_horn_background,0,12,0.9067484662576687
baseline,car_horn_background,0,15,0.9339468302658487
noise-aware,car_horn_background,0,15,0.929038854805726
baseline,car_horn_background,0,18,0.9404907975460123
noise-aware,car_horn_background,0,18,0.9396728016359919
baseline,car_horn_background,0,21,0.9433537832310839
noise-aware,car_horn_background,0,21,0.9466257668711656
baseline,car_horn_background,0,24,0.9476482617586912
noise-aware,car_horn_background,0,24,0.9515337423312883
baseline,car_horn_background,3,-3,0.7247443762781186
noise-aware,car_horn_background,3,-3,0.6134969325153374
baseline,car_horn_background,3,0,0.8155419222903886
noise-aware,car_horn_background,3,0,0.7028629856850716
baseline,car_horn_background,3,3,0.8629856850715747
noise-aware,car_horn_background,3,3,0.7834355828220859
baseline,car_horn_background,3,6,0.8940695296523518
noise-aware,car_horn_background,3,6,0.8406952965235174
baseline,car_horn_background,3,9,0.908997955010225
noise-aware,car_horn_background,3,9,0.8832310838445808
baseline,car_horn_background,3,12,0.9235173824130879
noise-aware,car_horn_background,3,12,0.9075664621676892
baseline,car_horn_background,3,15,0.9341513292433538
noise-aware,car_horn_background,3,15,0.9278118609406953
baseline,car_horn_background,3,18,0.941717791411043
noise-aware,car_horn_background,3,18,0.939877300613497
baseline,car_horn_background,3,21,0.9439672801635992
noise-aware,car_horn_background,3,21,0.9460122699386503
baseline,car_horn_background,3,24,0.9480572597137015
noise-aware,car_horn_background,3,24,0.9515337423312883
baseline,car_horn_background,6,-3,0.7175869120654397
noise-aware,car_horn_background,6,-3,0.6102249488752556
baseline,car_horn_background,6,0,0.8124744376278119
noise-aware,car_horn_background,6,0,0.7002044989775051
baseline,car_horn_background,6,3,0.8627811860940695
noise-aware,car_horn_background,6,3,0.7797546012269939
baseline,car_horn_background,6,6,0.8938650306748466
noise-aware,car_horn_background,6,6,0.8390593047034764
baseline,car_horn_background,6,9,0.9085889570552147
noise-aware,car_horn_background,6,9,0.8834355828220859
baseline,car_horn_background,6,12,0.9235173824130879
noise-aware,car_horn_background,6,12,0.9063394683026584
baseline,car_horn_background,6,15,0.9337423312883436
noise-aware,car_horn_background,6,15,0.92719836400818
baseline,car_horn_background,6,18,0.9411042944785276
noise-aware,car_horn_background,6,18,0.939877300613497
baseline,car_horn_background,6,21,0.9439672801635992
noise-aware,car_horn_background,6,21,0.947239263803681
baseline,car_horn_background,6,24,0.9480572597137015
noise-aware,car_horn_background,6,24,0.9507157464212679
baseline,car_horn_background,9,-3,0.7132924335378323
noise-aware,car_horn_background,9,-3,0.6094069529652352
baseline,car_horn_background,9,0,0.8081799591002045
noise-aware,car_horn_background,9,0,0.6979550102249489
baseline,car_horn_background,9,3,0.8617586912065439
noise-aware,car_horn_background,9,3,0.7758691206543967
baseline,car_horn_background,9,6,0.8922290388548058
noise-aware,car_horn_background,9,6,0.8370143149284254
baseline,car_horn_background,9,9,0.9087934560327199
noise-aware,car_horn_background,9,9,0.8811860940695296
baseline,car_horn_background,9,12,0.9241308793456032
noise-aware,car_horn_background,9,12,0.9069529652351738
baseline,car_horn_background,9,15,0.9337423312883436
noise-aware,car_horn_background,9,15,0.9267893660531697
baseline,car_horn_background,9,18,0.9413087934560327
noise-aware,car_horn_background,9,18,0.9402862985685072
baseline,car_horn_background,9,21,0.9441717791411043
noise-aware,car_horn_background,9,21,0.9468302658486708
baseline,car_horn_background,9,24,0.9478527607361963
noise-aware,car_horn_background,9,24,0.9511247443762781
baseline,car_horn_background,12,-3,0.710838445807771
noise-aware,car_horn_background,12,-3,0.6057259713701432
baseline,car_horn_background,12,0,0.8047034764826176
noise-aware,car_horn_background,12,0,0.6957055214723926
baseline,car_horn_background,12,3,0.8617586912065439
noise-aware,car_horn_background,12,3,0.7723926380368098
baseline,car_horn_background,12,6,0.8916155419222904
noise-aware,car_horn_background,12,6,0.8331288343558282
baseline,car_horn_background,12,9,0.9083844580777096
noise-aware,car_horn_background,12,9,0.8791411042944786
baseline,car_horn_background,12,12,0.9226993865030675
noise-aware,car_horn_background,12,12,0.905521472392638
baseline,car_horn_background,12,15,0.9339468302658487
noise-aware,car_horn_background,12,15,0.9263803680981595
baseline,car_horn_background,12,18,0.9415132924335379
noise-aware,car_horn_background,12,18,0.939877300613497
baseline,car_horn_background,12,21,0.943762781186094
