noise_type,snr_train,snr_test,accuracy,model
car_horn_background,24,18,0.8957055214723927,baseline
car_horn_background,24,21,0.9122699386503067,baseline
car_horn_background,24,24,0.9237218813905931,baseline
car_horn_background,24,27,0.9294478527607362,baseline
car_horn_background,24,30,0.9355828220858896,baseline
car_horn_background,27,-3,0.45112474437627814,baseline
car_horn_background,27,0,0.5466257668711656,baseline
car_horn_background,27,3,0.6302658486707566,baseline
car_horn_background,27,6,0.7083844580777097,baseline
car_horn_background,27,9,0.7801635991820041,baseline
car_horn_background,27,12,0.8304703476482618,baseline
car_horn_background,27,15,0.8660531697341514,baseline
car_horn_background,27,18,0.8934560327198364,baseline
car_horn_background,27,21,0.9094069529652352,baseline
car_horn_background,27,24,0.9229038854805726,baseline
car_horn_background,27,27,0.9284253578732107,baseline
car_horn_background,27,30,0.9341513292433538,baseline
car_horn_background,30,-3,0.4572597137014315,baseline
car_horn_background,30,0,0.5543967280163599,baseline
car_horn_background,30,3,0.63640081799591,baseline
car_horn_background,30,6,0.7065439672801636,baseline
car_horn_background,30,9,0.7783231083844581,baseline
car_horn_background,30,12,0.8314928425357874,baseline
car_horn_background,30,15,0.8687116564417178,baseline
car_horn_background,30,18,0.8948875255623722,baseline
car_horn_background,30,21,0.9130879345603272,baseline
car_horn_background,30,24,0.9226993865030675,baseline
car_horn_background,30,27,0.9286298568507158,baseline
car_horn_background,30,30,0.9359918200408998,baseline
dog_bark_foreground,-3,-3,0.8116564417177914,baseline
dog_bark_foreground,-3,0,0.8404907975460123,baseline
dog_bark_foreground,-3,3,0.8697341513292434,baseline
dog_bark_foreground,-3,6,0.8912065439672802,baseline
dog_bark_foreground,-3,9,0.907157464212679,baseline
dog_bark_foreground,-3,12,0.9184049079754601,baseline
dog_bark_foreground,-3,15,0.9255623721881391,baseline
dog_bark_foreground,-3,18,0.9321063394683027,baseline
dog_bark_foreground,-3,21,0.938036809815951,baseline
dog_bark_foreground,-3,24,0.9394683026584867,baseline
dog_bark_foreground,-3,27,0.9413087934560327,baseline
dog_bark_foreground,-3,30,0.9425357873210634,baseline
dog_bark_foreground,0,-3,0.808997955010225,baseline
dog_bark_foreground,0,0,0.8423312883435583,baseline
dog_bark_foreground,0,3,0.8703476482617587,baseline
dog_bark_foreground,0,6,0.8879345603271984,baseline
dog_bark_foreground,0,9,0.905316973415133,baseline
dog_bark_foreground,0,12,0.9190184049079755,baseline
dog_bark_foreground,0,15,0.9237218813905931,baseline
dog_bark_foreground,0,18,0.9333333333333333,baseline
dog_bark_foreground,0,21,0.9384458077709611,baseline
dog_bark_foreground,0,24,0.9408997955010225,baseline
dog_bark_foreground,0,27,0.943558282208589,baseline
dog_bark_foreground,0,30,0.9449897750511247,baseline
dog_bark_foreground,3,-3,0.8065439672801636,baseline
dog_bark_foreground,3,0,0.8376278118609407,baseline
dog_bark_foreground,3,3,0.8687116564417178,baseline
dog_bark_foreground,3,6,0.8889570552147239,baseline
dog_bark_foreground,3,9,0.9049079754601227,baseline
dog_bark_foreground,3,12,0.9184049079754601,baseline
dog_bark_foreground,3,15,0.9255623721881391,baseline
dog_bark_foreground,3,18,0.9333333333333333,baseline
dog_bark_foreground,3,21,0.9392638036809816,baseline
dog_bark_foreground,3,24,0.941922290388548,baseline
dog_bark_foreground,3,27,0.943762781186094,baseline
dog_bark_foreground,3,30,0.9458077709611452,baseline
dog_bark_foreground,6,-3,0.7987730061349694,baseline
dog_bark_foreground,6,0,0.8310838445807771,baseline
dog_bark_foreground,6,3,0.8633946830265848,baseline
dog_bark_foreground,6,6,0.8840490797546012,baseline
dog_bark_foreground,6,9,0.901840490797546,baseline
dog_bark_foreground,6,12,0.9177914110429448,baseline
dog_bark_foreground,6,15,0.9243353783231084,baseline
dog_bark_foreground,6,18,0.930879345603272,baseline
dog_bark_foreground,6,21,0.9392638036809816,baseline
dog_bark_foreground,6,24,0.9421267893660532,baseline
dog_bark_foreground,6,27,0.9423312883435583,baseline
dog_bark_foreground,6,30,0.9445807770961145,baseline
dog_bark_foreground,9,-3,0.7867075664621677,baseline
dog_bark_foreground,9,0,0.8226993865030675,baseline
dog_bark_foreground,9,3,0.8537832310838446,baseline
dog_bark_foreground,9,6,0.8795501022494887,baseline
dog_bark_foreground,9,9,0.8975460122699387,baseline
dog_bark_foreground,9,12,0.9153374233128835,baseline
dog_bark_foreground,9,15,0.9231083844580777,baseline
dog_bark_foreground,9,18,0.9298568507157464,baseline
dog_bark_foreground,9,21,0.9370143149284254,baseline
dog_bark_foreground,9,24,0.940081799591002,baseline
dog_bark_foreground,9,27,0.9423312883435583,baseline
dog_bark_foreground,9,30,0.9441717791411043,baseline
dog_bark_foreground,12,-3,0.7797546012269939,baseline
dog_bark_foreground,12,0,0.816359918200409,baseline
dog_bark_foreground,12,3,0.8480572597137014,baseline
dog_bark_foreground,12,6,0.8754601226993866,baseline
dog_bark_foreground,12,9,0.896319018404908,baseline
dog_bark_foreground,12,12,0.9141104294478528,baseline
dog_bark_foreground,12,15,0.9229038854805726,baseline
dog_bark_foreground,12,18,0.9296523517382413,baseline
dog_bark_foreground,12,21,0.9361963190184049,baseline
dog_bark_foreground,12,24,0.9402862985685072,baseline
dog_bark_foreground,12,27,0.9431492842535787,baseline
dog_bark_foreground,12,30,0.945398773006135,baseline
dog_bark_foreground,15,-3,0.7711656441717791,baseline
dog_bark_foreground,15,0,0.808997955010225,baseline
dog_bark_foreground,15,3,0.8392638036809816,baseline
dog_bark_foreground,15,6,0.8703476482617587,baseline
dog_bark_foreground,15,9,0.8912065439672802,baseline
dog_bark_foreground,15,12,0.9096114519427403,baseline
dog_bark_foreground,15,15,0.9208588957055215,baseline
dog_bark_foreground,15,18,0.9263803680981595,baseline
dog_bark_foreground,15,21,0.9349693251533743,baseline
dog_bark_foreground,15,24,0.9388548057259714,baseline
dog_bark_foreground,15,27,0.9411042944785276,baseline
dog_bark_foreground,15,30,0.9425357873210634,baseline
dog_bark_foreground,18,-3,0.7584867075664622,baseline
dog_bark_foreground,18,0,0.7963190184049079,baseline
dog_bark_foreground,18,3,0.8300613496932515,baseline
dog_bark_foreground,18,6,0.8599182004089979,baseline
dog_bark_foreground,18,9,0.8809815950920246,baseline
dog_bark_foreground,18,12,0.9028629856850716,baseline
dog_bark_foreground,18,15,0.914519427402863,baseline
dog_bark_foreground,18,18,0.9226993865030675,baseline
dog_bark_foreground,18,21,0.9294478527607362,baseline
dog_bark_foreground,18,24,0.9357873210633947,baseline
dog_bark_foreground,18,27,0.9386503067484663,baseline
dog_bark_foreground,18,30,0.940081799591002,baseline
dog_bark_foreground,21,-3,0.7498977505112474,baseline
dog_bark_foreground,21,0,0.7883435582822086,baseline
dog_bark_foreground,21,3,0.8229038854805726,baseline
dog_bark_foreground,21,6,0.8552147239263803,baseline
dog_bark_foreground,21,9,0.876482617586912,baseline
dog_bark_foreground,21,12,0.8979550102249488,baseline
dog_bark_foreground,21,15,0.911042944785276,baseline
dog_bark_foreground,21,18,0.9214723926380368,baseline
dog_bark_foreground,21,21,0.9267893660531697,baseline
dog_bark_foreground,21,24,0.9333333333333333,baseline
dog_bark_foreground,21,27,0.9355828220858896,baseline
dog_bark_foreground,21,30,0.9390593047034764,baseline
dog_bark_foreground,24,-3,0.7474437627811861,baseline
dog_bark_foreground,24,0,0.7842535787321063,baseline
dog_bark_foreground,24,3,0.8198364008179959,baseline
dog_bark_foreground,24,6,0.8529652351738242,baseline
dog_bark_foreground,24,9,0.8766871165644172,baseline
dog_bark_foreground,24,12,0.896319018404908,baseline
dog_bark_foreground,24,15,0.9120654396728016,baseline
dog_bark_foreground,24,18,0.9210633946830266,baseline
dog_bark_foreground,24,21,0.9265848670756647,baseline
dog_bark_foreground,24,24,0.9333333333333333,baseline
dog_bark_foreground,24,27,0.9359918200408998,baseline
dog_bark_foreground,24,30,0.9384458077709611,baseline
dog_bark_foreground,27,-3,0.7402862985685071,baseline
dog_bark_foreground,27,0,0.7805725971370143,baseline
dog_bark_foreground,27,3,0.814519427402863,baseline
dog_bark_foreground,27,6,0.849079754601227,baseline
dog_bark_foreground,27,9,0.8711656441717791,baseline
dog_bark_foreground,27,12,0.8940695296523518,baseline
dog_bark_foreground,27,15,0.9102249488752556,baseline
dog_bark_foreground,27,18,0.9208588957055215,baseline
dog_bark_foreground,27,21,0.9263803680981595,baseline
dog_bark_foreground,27,24,0.9331288343558283,baseline
dog_bark_foreground,27,27,0.9357873210633947,baseline
dog_bark_foreground,27,30,0.9384458077709611,baseline
dog_bark_foreground,30,-3,0.7347648261758691,baseline
dog_bark_foreground,30,0,0.7773006134969325,baseline
dog_bark_foreground,30,3,0.814519427402863,baseline
dog_bark_foreground,30,6,0.8470347648261759,baseline
dog_bark_foreground,30,9,0.8693251533742331,baseline
dog_bark_foreground,30,12,0.8916155419222904,baseline
dog_bark_foreground,30,15,0.9087934560327199,baseline
dog_bark_foreground,30,18,0.9214723926380368,baseline
dog_bark_foreground,30,21,0.9269938650306748,baseline
dog_bark_foreground,30,24,0.9331288343558283,baseline
dog_bark_foreground,30,27,0.9376278118609407,baseline
dog_bark_foreground,30,30,0.9396728016359919,baseline
street_music_foreground,-3,-3,0.49100204498977507,baseline
street_music_foreground,-3,0,0.6175869120654397,baseline
street_music_foreground,-3,3,0.7061349693251534,baseline
street_music_foreground,-3,6,0.7689161554192229,baseline
street_music_foreground,-3,9,0.8112474437627812,baseline
street_music_foreground,-3,12,0.8300613496932515,baseline
street_music_foreground,-3,15,0.8478527607361963,baseline
street_music_foreground,-3,18,0.8548057259713702,baseline
street_music_foreground,-3,21,0.8578732106339468,baseline
street_music_foreground,-3,24,0.8611451942740286,baseline
street_music_foreground,-3,27,0.8650306748466258,baseline
street_music_foreground,-3,30,0.8650306748466258,baseline
street_music_foreground,0,-3,0.4312883435582822,baseline
street_music_foreground,0,0,0.5705521472392638,baseline
street_music_foreground,0,3,0.6807770961145194,baseline
street_music_foreground,0,6,0.7615541922290389,baseline
street_music_foreground,0,9,0.8114519427402863,baseline
street_music_foreground,0,12,0.838036809815951,baseline
street_music_foreground,0,15,0.8496932515337423,baseline
street_music_foreground,0,18,0.8568507157464212,baseline
street_music_foreground,0,21,0.8613496932515338,baseline
street_music_foreground,0,24,0.8678936605316974,baseline
street_music_foreground,0,27,0.8711656441717791,baseline
street_music_foreground,0,30,0.8738241308793456,baseline
street_music_foreground,3,-3,0.3871165644171779,baseline
street_music_foreground,3,0,0.5539877300613497,baseline
street_music_foreground,3,3,0.6770961145194274,baseline
street_music_foreground,3,6,0.7711656441717791,baseline
street_music_foreground,3,9,0.8247443762781186,baseline
street_music_foreground,3,12,0.8498977505112475,baseline
street_music_foreground,3,15,0.8656441717791411,baseline
street_music_foreground,3,18,0.8734151329243354,baseline
street_music_foreground,3,21,0.8811860940695296,baseline
street_music_foreground,3,24,0.8867075664621676,baseline
street_music_foreground,3,27,0.8893660531697342,baseline
street_music_foreground,3,30,0.8924335378323108,baseline
street_music_foreground,6,-3,0.3224948875255624,baseline
street_music_foreground,6,0,0.49038854805725973,baseline
street_music_foreground,6,3,0.6462167689161554,baseline
street_music_foreground,6,6,0.7503067484662577,baseline
street_music_foreground,6,9,0.8198364008179959,baseline
street_music_foreground,6,12,0.8517382413087935,baseline
street_music_foreground,6,15,0.8658486707566462,baseline
street_music_foreground,6,18,0.8787321063394683,baseline
street_music_foreground,6,21,0.8856850715746422,baseline
street_music_foreground,6,24,0.8926380368098159,baseline
street_music_foreground,6,27,0.8957055214723927,baseline
street_music_foreground,6,30,0.8995910020449898,baseline
street_music_foreground,9,-3,0.3188139059304703,baseline
street_music_foreground,9,0,0.48098159509202454,baseline
street_music_foreground,9,3,0.6366053169734152,baseline
street_music_foreground,9,6,0.7488752556237219,baseline
street_music_foreground,9,9,0.8194274028629857,baseline
street_music_foreground,9,12,0.8593047034764826,baseline
street_music_foreground,9,15,0.8748466257668711,baseline
street_music_foreground,9,18,0.8912065439672802,baseline
street_music_foreground,9,21,0.8979550102249488,baseline
street_music_foreground,9,24,0.9040899795501023,baseline
street_music_foreground,9,27,0.9083844580777096,baseline
street_music_foreground,9,30,0.9124744376278119,baseline
street_music_foreground,12,-3,0.3112474437627812,baseline
street_music_foreground,12,0,0.4687116564417178,baseline
street_music_foreground,12,3,0.6265848670756646,baseline
street_music_foreground,12,6,0.7486707566462167,baseline
street_music_foreground,12,9,0.8216768916155419,baseline
street_music_foreground,12,12,0.8660531697341514,baseline
street_music_foreground,12,15,0.8811860940695296,baseline
street_music_foreground,12,18,0.8969325153374234,baseline
street_music_foreground,12,21,0.9040899795501023,baseline
street_music_foreground,12,24,0.9120654396728016,baseline
street_music_foreground,12,27,0.9159509202453988,baseline
street_music_foreground,12,30,0.9179959100204499,baseline
street_music_foreground,15,-3,0.2883435582822086,baseline
street_music_foreground,15,0,0.4404907975460123,baseline
street_music_foreground,15,3,0.5973415132924336,baseline
street_music_foreground,15,6,0.732719836400818,baseline
street_music_foreground,15,9,0.8157464212678937,baseline
street_music_foreground,15,12,0.8644171779141104,baseline
street_music_foreground,15,15,0.8889570552147239,baseline
street_music_foreground,15,18,0.9006134969325154,baseline
street_music_foreground,15,21,0.912678936605317,baseline
street_music_foreground,15,24,0.9210633946830266,baseline
street_music_foreground,15,27,0.9255623721881391,baseline
street_music_foreground,15,30,0.9255623721881391,baseline
street_music_foreground,18,-3,0.24969325153374233,baseline
street_music_foreground,18,0,0.38732106339468303,baseline
street_music_foreground,18,3,0.5476482617586912,baseline
street_music_foreground,18,6,0.696319018404908,baseline
street_music_foreground,18,9,0.7959100204498978,baseline
street_music_foreground,18,12,0.8503067484662576,baseline
street_music_foreground,18,15,0.879959100204499,baseline
street_music_foreground,18,18,0.9040899795501023,baseline
street_music_foreground,18,21,0.9139059304703476,baseline
street_music_foreground,18,24,0.9194274028629856,baseline
street_music_foreground,18,27,0.9257668711656442,baseline
street_music_foreground,18,30,0.9280163599182004,baseline
street_music_foreground,21,-3,0.22106339468302658,baseline
street_music_foreground,21,0,0.3398773006134969,baseline
street_music_foreground,21,3,0.505521472392638,baseline
street_music_foreground,21,6,0.6550102249488753,baseline
street_music_foreground,21,9,0.7695296523517382,baseline
street_music_foreground,21,12,0.8359918200408998,baseline
street_music_foreground,21,15,0.8683026584867075,baseline
street_music_foreground,21,18,0.894478527607362,baseline
street_music_foreground,21,21,0.9112474437627812,baseline
street_music_foreground,21,24,0.9188139059304703,baseline
street_music_foreground,21,27,0.9247443762781186,baseline
street_music_foreground,21,30,0.9278118609406953,baseline
street_music_foreground,24,-3,0.2116564417177914,baseline
street_music_foreground,24,0,0.3229038854805726,baseline
street_music_foreground,24,3,0.48711656441717793,baseline
street_music_foreground,24,6,0.6437627811860941,baseline
street_music_foreground,24,9,0.7595092024539877,baseline
street_music_foreground,24,12,0.8319018404907975,baseline
street_music_foreground,24,15,0.8680981595092024,baseline
street_music_foreground,24,18,0.8942740286298568,baseline
street_music_foreground,24,21,0.90920245398773,baseline
street_music_foreground,24,24,0.9206543967280164,baseline
street_music_foreground,24,27,0.9261758691206544,baseline
street_music_foreground,24,30,0.9298568507157464,baseline
street_music_foreground,27,-3,0.19979550102249488,baseline
street_music_foreground,27,0,0.3159509202453988,baseline
street_music_foreground,27,3,0.4897750511247444,baseline
street_music_foreground,27,6,0.6488752556237218,baseline
