model,noise_type,snr_train,epochs_1,epochs_2,epochs_3,epochs_4,epochs_5
baseline,car_horn_background,-3,0.7294478527607362,0.7488752556237219,0.7623721881390593,0.7676891615541922,0.7693251533742331
noise_aware,car_horn_background,-3,0.625357873210634,0.6646216768916156,0.6952965235173824,0.7177914110429447,0.7357873210633947
baseline,car_horn_background,0,0.816359918200409,0.821881390593047,0.8276073619631902,0.8300613496932515,0.8302658486707567
noise_aware,car_horn_background,0,0.7124744376278118,0.7470347648261759,0.7703476482617587,0.7877300613496933,0.8034764826175869
baseline,car_horn_background,3,0.8621676891615542,0.867280163599182,0.8713701431492843,0.8717791411042944,0.8703476482617587
noise_aware,car_horn_background,3,0.7881390593047035,0.8106339468302658,0.8300613496932515,0.8447852760736196,0.8529652351738242
baseline,car_horn_background,6,0.8940695296523518,0.894478527607362,0.8936605316973415,0.8922290388548058,0.8926380368098159
noise_aware,car_horn_background,6,0.8425357873210634,0.8584867075664622,0.8705521472392638,0.8773006134969326,0.8848670756646216
baseline,car_horn_background,9,0.9081799591002045,0.910838445807771,0.9118609406952966,0.9114519427402863,0.911042944785276
noise_aware,car_horn_background,9,0.8834355828220859,0.8914110429447852,0.8989775051124744,0.9020449897750511,0.9051124744376278
baseline,car_horn_background,12,0.9222903885480572,0.9237218813905931,0.9243353783231084,0.9253578732106339,0.9241308793456032
noise_aware,car_horn_background,12,0.9059304703476483,0.910838445807771,0.9165644171779141,0.9188139059304703,0.9196319018404908
baseline,car_horn_background,15,0.9329243353783231,0.9339468302658487,0.9333333333333333,0.9335378323108384,0.9341513292433538
noise_aware,car_horn_background,15,0.9241308793456032,0.9288343558282208,0.9292433537832311,0.9319018404907975,0.9339468302658487
baseline,car_horn_background,18,0.941717791411043,0.9415132924335379,0.9421267893660532,0.9415132924335379,0.941922290388548
noise_aware,car_horn_background,18,0.9396728016359919,0.9396728016359919,0.9408997955010225,0.9406952965235174,0.941717791411043
baseline,car_horn_background,21,0.9431492842535787,0.9443762781186094,0.9443762781186094,0.9431492842535787,0.943762781186094
noise_aware,car_horn_background,21,0.945398773006135,0.945398773006135,0.9466257668711656,0.9482617586912065,0.9486707566462168
baseline,car_horn_background,24,0.9476482617586912,0.9488752556237219,0.9480572597137015,0.9480572597137015,0.9474437627811861
noise_aware,car_horn_background,24,0.9494887525562372,0.9501022494887525,0.9496932515337423,0.9513292433537832,0.9517382413087935
baseline,dog_bark_foreground,-3,0.8396728016359918,0.8402862985685071,0.8413087934560327,0.843762781186094,0.8451942740286299
noise_aware,dog_bark_foreground,-3,0.8353783231083844,0.838036809815951,0.841922290388548,0.843558282208589,0.8445807770961146
baseline,dog_bark_foreground,0,0.8703476482617587,0.8711656441717791,0.8730061349693251,0.8732106339468303,0.8740286298568507
noise_aware,dog_bark_foreground,0,0.8670756646216768,0.8680981595092024,0.8697341513292434,0.8715746421267894,0.8723926380368098
baseline,dog_bark_foreground,3,0.8928425357873211,0.8936605316973415,0.8934560327198364,0.8932515337423312,0.8946830265848671
noise_aware,dog_bark_foreground,3,0.8914110429447852,0.8912065439672802,0.8905930470347648,0.8903885480572598,0.8893660531697342
baseline,dog_bark_foreground,6,0.911042944785276,0.910838445807771,0.911042944785276,0.9104294478527607,0.9106339468302659
noise_aware,dog_bark_foreground,6,0.9065439672801636,0.9049079754601227,0.9042944785276074,0.9038854805725971,0.903476482617587
baseline,dog_bark_foreground,9,0.9255623721881391,0.9255623721881391,0.9263803680981595,0.9263803680981595,0.9255623721881391
noise_aware,dog_bark_foreground,9,0.9226993865030675,0.9224948875255624,0.9218813905930471,0.9208588957055215,0.9198364008179959
baseline,dog_bark_foreground,12,0.9359918200408998,0.9353783231083844,0.9349693251533743,0.9351738241308793,0.9351738241308793
noise_aware,dog_bark_foreground,12,0.934560327198364,0.9349693251533743,0.9339468302658487,0.9343558282208589,0.9331288343558283
baseline,dog_bark_foreground,15,0.9441717791411043,0.9441717791411043,0.9445807770961145,0.9439672801635992,0.9425357873210634
noise_aware,dog_bark_foreground,15,0.9439672801635992,0.9431492842535787,0.9423312883435583,0.9413087934560327,0.9406952965235174
baseline,dog_bark_foreground,18,0.9488752556237219,0.9488752556237219,0.949079754601227,0.9496932515337423,0.9496932515337423
noise_aware,dog_bark_foreground,18,0.9507157464212679,0.950920245398773,0.9507157464212679,0.9517382413087935,0.9511247443762781
baseline,dog_bark_foreground,21,0.9537832310838446,0.9537832310838446,0.9541922290388548,0.9539877300613497,0.9539877300613497
noise_aware,dog_bark_foreground,21,0.9556237218813906,0.9554192229038855,0.9548057259713701,0.9543967280163599,0.9550102249488752
baseline,dog_bark_foreground,24,0.9556237218813906,0.9558282208588957,0.9560327198364008,0.9560327198364008,0.9564417177914111
noise_aware,dog_bark_foreground,24,0.9591002044989775,0.9586912065439673,0.9586912065439673,0.9580777096114519,0.9578732106339468
baseline,street_music_foreground,-3,0.2791411042944785,0.29386503067484665,0.31247443762781185,0.332719836400818,0.3492842535787321
noise_aware,street_music_foreground,-3,0.32883435582822085,0.36625766871165644,0.40081799591002043,0.4251533742331288,0.45010224948875255
baseline,street_music_foreground,0,0.44785276073619634,0.46973415132924334,0.48936605316973414,0.5087934560327199,0.5284253578732107
