model,noise_type,snr_train,epochs_1,epochs_2,epochs_3,epochs_4,epochs_5
baseline,car_horn_background,21,0.9431492842535787,0.9449897750511247,0.9445807770961145,0.943762781186094,0.9433537832310839
noise_aware,car_horn_background,21,0.9456032719836401,0.9466257668711656,0.9474437627811861,0.9478527607361963,0.9486707566462168
baseline,car_horn_background,24,0.9476482617586912,0.9486707566462168,0.9484662576687116,0.9484662576687116,0.9486707566462168
noise_aware,car_horn_background,24,0.950920245398773,0.9521472392638037,0.9531697341513292,0.9537832310838446,0.9533742331288344
baseline,dog_bark_foreground,-3,0.839877300613497,0.8425357873210634,0.8470347648261759,0.8488752556237219,0.8513292433537832
noise_aware,dog_bark_foreground,-3,0.8368098159509203,0.8402862985685071,0.8423312883435583,0.8449897750511247,0.8486707566462167
baseline,dog_bark_foreground,0,0.8717791411042944,0.8748466257668711,0.876278118609407,0.8777096114519427,0.8789366053169734
noise_aware,dog_bark_foreground,0,0.8668711656441718,0.870756646216769,0.8732106339468303,0.876482617586912,0.8785276073619632
baseline,dog_bark_foreground,3,0.8928425357873211,0.894478527607362,0.8957055214723927,0.8965235173824131,0.8967280163599182
noise_aware,dog_bark_foreground,3,0.8920245398773006,0.8934560327198364,0.8961145194274028,0.8973415132924335,0.8985685071574642
baseline,dog_bark_foreground,6,0.9114519427402863,0.9134969325153375,0.9132924335378323,0.912678936605317,0.914519427402863
noise_aware,dog_bark_foreground,6,0.908997955010225,0.9118609406952966,0.9118609406952966,0.9118609406952966,0.9114519427402863
baseline,dog_bark_foreground,9,0.9278118609406953,0.9267893660531697,0.9265848670756647,0.9276073619631902,0.9280163599182004
noise_aware,dog_bark_foreground,9,0.9229038854805726,0.9239263803680982,0.9239263803680982,0.9241308793456032,0.9249488752556237
baseline,dog_bark_foreground,12,0.9359918200408998,0.9359918200408998,0.9366053169734151,0.9372188139059304,0.9378323108384458
noise_aware,dog_bark_foreground,12,0.9361963190184049,0.9368098159509203,0.9374233128834356,0.9376278118609407,0.9384458077709611
baseline,dog_bark_foreground,15,0.9460122699386503,0.9460122699386503,0.945398773006135,0.9456032719836401,0.9462167689161555
noise_aware,dog_bark_foreground,15,0.9458077709611452,0.9470347648261759,0.9480572597137015,0.9480572597137015,0.9496932515337423
baseline,dog_bark_foreground,18,0.9498977505112475,0.9513292433537832,0.9515337423312883,0.9501022494887525,0.9498977505112475
noise_aware,dog_bark_foreground,18,0.9523517382413088,0.9527607361963191,0.9533742331288344,0.9539877300613497,0.9539877300613497
baseline,dog_bark_foreground,21,0.9529652351738241,0.9535787321063395,0.9537832310838446,0.9539877300613497,0.9539877300613497
noise_aware,dog_bark_foreground,21,0.9562372188139059,0.9556237218813906,0.9566462167689161,0.9576687116564417,0.9564417177914111
baseline,dog_bark_foreground,24,0.9558282208588957,0.9562372188139059,0.9562372188139059,0.9560327198364008,0.9562372188139059
noise_aware,dog_bark_foreground,24,0.9601226993865031,0.959918200408998,0.9601226993865031,0.9597137014314928,0.9588957055214724
baseline,street_music_foreground,-3,0.2754601226993865,0.2897750511247444,0.3079754601226994,0.32413087934560325,0.3408997955010225
noise_aware,street_music_foreground,-3,0.33067484662576685,0.3685071574642127,0.40429447852760736,0.4329243353783231,0.4574642126789366
baseline,street_music_foreground,0,0.4451942740286299,0.46359918200409,0.4852760736196319,0.5044989775051125,0.5216768916155419
noise_aware,street_music_foreground,0,0.5398773006134969,0.57280163599182,0.6024539877300613,0.6233128834355828,0.6417177914110429
baseline,street_music_foreground,3,0.6449897750511248,0.6574642126789366,0.6746421267893661,0.6895705521472393,0.7012269938650306
noise_aware,street_music_foreground,3,0.721881390593047,0.7394683026584867,0.752760736196319,0.7676891615541922,0.7740286298568507
baseline,street_music_foreground,6,0.7815950920245399,0.7871165644171779,0.7950920245398773,0.8012269938650307,0.8059304703476483
noise_aware,street_music_foreground,6,0.8300613496932515,0.8376278118609407,0.8449897750511247,0.8511247443762782,0.8525562372188139
baseline,street_music_foreground,9,0.8640081799591002,0.8648261758691207,0.8680981595092024,0.8713701431492843,0.872597137014315
noise_aware,street_music_foreground,9,0.8850715746421268,0.8905930470347648,0.8932515337423312,0.8940695296523518,0.8957055214723927
baseline,street_music_foreground,12,0.903476482617587,0.9042944785276074,0.9067484662576687,0.9069529652351738,0.9059304703476483
noise_aware,street_music_foreground,12,0.9118609406952966,0.9153374233128835,0.916359918200409,0.9171779141104295,0.9179959100204499
baseline,street_music_foreground,15,0.9276073619631902,0.9261758691206544,0.9269938650306748,0.9269938650306748,0.9259713701431492
noise_aware,street_music_foreground,15,0.9269938650306748,0.9292433537832311,0.9312883435582822,0.9310838445807771,0.9319018404907975
baseline,street_music_foreground,18,0.9359918200408998,0.9347648261758691,0.9339468302658487,0.9329243353783231,0.9321063394683027
noise_aware,street_music_foreground,18,0.9351738241308793,0.93640081799591,0.9366053169734151,0.9378323108384458,0.9386503067484663
baseline,street_music_foreground,21,0.9406952965235174,0.9406952965235174,0.9406952965235174,0.940081799591002,0.939877300613497
noise_aware,street_music_foreground,21,0.9427402862985685,0.9431492842535787,0.9447852760736196,0.9447852760736196,0.9447852760736196
baseline,street_music_foreground,24,0.945398773006135,0.947239263803681,0.9468302658486708,0.9464212678936605,0.9458077709611452
noise_aware,street_music_foreground,24,0.9480572597137015,0.949079754601227,0.9501022494887525,0.950920245398773,0.9519427402862985
