,seed,noise_snr,noise_test,accuracy
71,7,24,pink,0.9411042944785276
72,8,24,pink,0.9425357873210634
73,9,24,pink,0.9433537832310839
74,10,24,pink,0.9451942740286299
75,11,24,pink,0.9466257668711656
76,12,24,pink,0.941717791411043
77,13,24,pink,0.9427402862985685
78,14,24,pink,0.9492842535787321
79,15,24,pink,0.940081799591002
80,16,24,pink,0.9394683026584867
81,17,24,pink,0.9445807770961145
82,18,24,pink,0.943762781186094
83,19,24,pink,0.9462167689161555
84,20,24,pink,0.9427402862985685
85,21,24,pink,0.9439672801635992
86,22,24,pink,0.9464212678936605
87,23,24,pink,0.945398773006135
88,24,24,pink,0.9464212678936605
89,0,24,babble,0.9546012269938651
90,1,24,babble,0.9498977505112475
91,2,24,babble,0.9517382413087935
92,3,24,babble,0.9533742331288344
93,4,24,babble,0.9517382413087935
94,5,24,babble,0.950920245398773
95,6,24,babble,0.9511247443762781
96,7,24,babble,0.9513292433537832
97,8,24,babble,0.9523517382413088
98,9,24,babble,0.9488752556237219
99,10,24,babble,0.9537832310838446
100,11,24,babble,0.9560327198364008
101,12,24,babble,0.9537832310838446
102,13,24,babble,0.9586912065439673
103,14,24,babble,0.9525562372188139
104,15,24,babble,0.9546012269938651
105,16,24,babble,0.950920245398773
106,17,24,babble,0.9535787321063395
107,18,24,babble,0.9513292433537832
108,19,24,babble,0.9552147239263804
109,20,24,babble,0.9531697341513292
110,21,24,babble,0.9476482617586912
111,22,24,babble,0.9529652351738241
112,23,24,babble,0.949079754601227
113,24,24,babble,0.9523517382413088
114,0,24,kitchen,0.9539877300613497
115,1,24,kitchen,0.9560327198364008
116,2,24,kitchen,0.9554192229038855
117,3,24,kitchen,0.9574642126789366
118,4,24,kitchen,0.950920245398773
119,5,24,kitchen,0.9546012269938651
120,6,24,kitchen,0.9546012269938651
121,7,24,kitchen,0.9552147239263804
122,8,24,kitchen,0.9543967280163599
123,9,24,kitchen,0.9541922290388548
124,10,24,kitchen,0.9515337423312883
125,11,24,kitchen,0.9586912065439673
126,12,24,kitchen,0.9541922290388548
127,13,24,kitchen,0.9515337423312883
128,14,24,kitchen,0.9554192229038855
129,15,24,kitchen,0.9552147239263804
130,16,24,kitchen,0.9531697341513292
131,17,24,kitchen,0.9523517382413088
132,18,24,kitchen,0.9546012269938651
133,19,24,kitchen,0.9550102249488752
134,20,24,kitchen,0.9523517382413088
135,21,24,kitchen,0.9543967280163599
136,22,24,kitchen,0.9574642126789366
137,23,24,kitchen,0.9556237218813906
138,24,24,kitchen,0.9562372188139059
139,0,24,office,0.9593047034764827
140,1,24,office,0.9609406952965235
141,2,24,office,0.9584867075664621
142,3,24,office,0.9607361963190184
143,4,24,office,0.9578732106339468
144,5,24,office,0.9597137014314928
145,6,24,office,0.9607361963190184
146,7,24,office,0.9574642126789366
147,8,24,office,0.9595092024539877
148,9,24,office,0.9593047034764827
149,10,24,office,0.9582822085889571
150,11,24,office,0.9625766871165644
151,12,24,office,0.9609406952965235
152,13,24,office,0.959918200408998
153,14,24,office,0.9621676891615542
154,15,24,office,0.9623721881390593
155,16,24,office,0.9593047034764827
156,17,24,office,0.9595092024539877
157,18,24,office,0.96359918200409
158,19,24,office,0.9586912065439673
159,20,24,office,0.9570552147239264
160,21,24,office,0.9566462167689161
161,22,24,office,0.9623721881390593
162,23,24,office,0.9595092024539877
163,24,24,office,0.9595092024539877
164,0,24,living,0.9578732106339468
165,1,24,living,0.9603271983640081
166,2,24,living,0.9572597137014315
167,3,24,living,0.9611451942740287
168,4,24,living,0.9556237218813906
169,5,24,living,0.9582822085889571
170,6,24,living,0.9580777096114519
171,7,24,living,0.9586912065439673
172,8,24,living,0.9586912065439673
173,9,24,living,0.9586912065439673
174,10,24,living,0.9572597137014315
175,11,24,living,0.9642126789366053
176,12,24,living,0.9609406952965235
177,13,24,living,0.9591002044989775
178,14,24,living,0.9611451942740287
179,15,24,living,0.9597137014314928
180,16,24,living,0.9580777096114519
181,17,24,living,0.9564417177914111
182,18,24,living,0.9582822085889571
183,19,24,living,0.9582822085889571
184,20,24,living,0.9576687116564417
185,21,24,living,0.9548057259713701
186,22,24,living,0.9597137014314928
187,23,24,living,0.9582822085889571
188,24,24,living,0.9586912065439673
189,0,21,white,0.9265848670756647
190,1,21,white,0.9427402862985685
191,2,21,white,0.9349693251533743
192,3,21,white,0.9312883435582822
193,4,21,white,0.9335378323108384
194,5,21,white,0.9353783231083844
195,6,21,white,0.93640081799591
196,7,21,white,0.9361963190184049
197,8,21,white,0.9349693251533743
198,9,21,white,0.934560327198364
199,10,21,white,0.9296523517382413
200,11,21,white,0.9411042944785276
201,12,21,white,0.9374233128834356
202,13,21,white,0.9370143149284254
203,14,21,white,0.9384458077709611
204,15,21,white,0.932719836400818
205,16,21,white,0.9335378323108384
206,17,21,white,0.9368098159509203
207,18,21,white,0.9335378323108384
208,19,21,white,0.9411042944785276
209,20,21,white,0.9351738241308793
210,21,21,white,0.9343558282208589
211,22,21,white,0.9368098159509203
212,23,21,white,0.9347648261758691
213,24,21,white,0.9347648261758691
214,0,21,pink,0.9298568507157464
215,1,21,pink,0.9404907975460123
216,2,21,pink,0.9353783231083844
217,3,21,pink,0.9359918200408998
218,4,21,pink,0.9329243353783231
219,5,21,pink,0.9351738241308793
220,6,21,pink,0.9374233128834356
221,7,21,pink,0.9353783231083844
222,8,21,pink,0.9353783231083844
223,9,21,pink,0.9359918200408998
224,10,21,pink,0.934560327198364
225,11,21,pink,0.9408997955010225
226,12,21,pink,0.9378323108384458
227,13,21,pink,0.9325153374233128
228,14,21,pink,0.9408997955010225
