model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,9,21,0.943558282208589
noise-aware,car_horn_background,9,21,0.9464212678936605
baseline,car_horn_background,9,24,0.9474437627811861
noise-aware,car_horn_background,9,24,0.9519427402862985
baseline,car_horn_background,12,-3,0.7147239263803681
noise-aware,car_horn_background,12,-3,0.6116564417177914
baseline,car_horn_background,12,0,0.80920245398773
noise-aware,car_horn_background,12,0,0.7016359918200409
baseline,car_horn_background,12,3,0.8627811860940695
noise-aware,car_horn_background,12,3,0.7783231083844581
baseline,car_horn_background,12,6,0.8924335378323108
noise-aware,car_horn_background,12,6,0.8396728016359918
baseline,car_horn_background,12,9,0.90920245398773
noise-aware,car_horn_background,12,9,0.8820040899795502
baseline,car_horn_background,12,12,0.9231083844580777
noise-aware,car_horn_background,12,12,0.9077709611451943
baseline,car_horn_background,12,15,0.9341513292433538
noise-aware,car_horn_background,12,15,0.9259713701431492
baseline,car_horn_background,12,18,0.9408997955010225
noise-aware,car_horn_background,12,18,0.939877300613497
baseline,car_horn_background,12,21,0.943762781186094
noise-aware,car_horn_background,12,21,0.9466257668711656
baseline,car_horn_background,12,24,0.9480572597137015
noise-aware,car_horn_background,12,24,0.9511247443762781
baseline,car_horn_background,15,-3,0.7118609406952965
noise-aware,car_horn_background,15,-3,0.6096114519427402
baseline,car_horn_background,15,0,0.807157464212679
noise-aware,car_horn_background,15,0,0.6997955010224949
baseline,car_horn_background,15,3,0.8619631901840491
noise-aware,car_horn_background,15,3,0.7758691206543967
baseline,car_horn_background,15,6,0.8920245398773006
noise-aware,car_horn_background,15,6,0.8372188139059304
baseline,car_horn_background,15,9,0.90920245398773
noise-aware,car_horn_background,15,9,0.8813905930470347
baseline,car_horn_background,15,12,0.9237218813905931
noise-aware,car_horn_background,15,12,0.9077709611451943
baseline,car_horn_background,15,15,0.9333333333333333
noise-aware,car_horn_background,15,15,0.9261758691206544
baseline,car_horn_background,15,18,0.9411042944785276
noise-aware,car_horn_background,15,18,0.9404907975460123
baseline,car_horn_background,15,21,0.943762781186094
noise-aware,car_horn_background,15,21,0.9462167689161555
baseline,car_horn_background,15,24,0.947239263803681
noise-aware,car_horn_background,15,24,0.9511247443762781
baseline,car_horn_background,18,-3,0.7102249488752557
noise-aware,car_horn_background,18,-3,0.6030674846625766
baseline,car_horn_background,18,0,0.8047034764826176
noise-aware,car_horn_background,18,0,0.6936605316973415
baseline,car_horn_background,18,3,0.8613496932515338
noise-aware,car_horn_background,18,3,0.7705521472392638
baseline,car_horn_background,18,6,0.8922290388548058
noise-aware,car_horn_background,18,6,0.8321063394683027
baseline,car_horn_background,18,9,0.908997955010225
noise-aware,car_horn_background,18,9,0.8791411042944786
baseline,car_horn_background,18,12,0.9235173824130879
noise-aware,car_horn_background,18,12,0.9042944785276074
baseline,car_horn_background,18,15,0.9325153374233128
noise-aware,car_horn_background,18,15,0.9245398773006135
baseline,car_horn_background,18,18,0.9408997955010225
noise-aware,car_horn_background,18,18,0.939877300613497
baseline,car_horn_background,18,21,0.9427402862985685
noise-aware,car_horn_background,18,21,0.9451942740286299
baseline,car_horn_background,18,24,0.9470347648261759
noise-aware,car_horn_background,18,24,0.9501022494887525
baseline,car_horn_background,21,-3,0.7081799591002045
noise-aware,car_horn_background,21,-3,0.5987730061349693
baseline,car_horn_background,21,0,0.8034764826175869
noise-aware,car_horn_background,21,0,0.69079754601227
baseline,car_horn_background,21,3,0.8601226993865031
noise-aware,car_horn_background,21,3,0.767280163599182
baseline,car_horn_background,21,6,0.8918200408997955
noise-aware,car_horn_background,21,6,0.8312883435582822
baseline,car_horn_background,21,9,0.9083844580777096
noise-aware,car_horn_background,21,9,0.8770961145194274
baseline,car_horn_background,21,12,0.9231083844580777
noise-aware,car_horn_background,21,12,0.903476482617587
baseline,car_horn_background,21,15,0.9319018404907975
noise-aware,car_horn_background,21,15,0.9245398773006135
baseline,car_horn_background,21,18,0.9408997955010225
noise-aware,car_horn_background,21,18,0.940081799591002
baseline,car_horn_background,21,21,0.9427402862985685
noise-aware,car_horn_background,21,21,0.9449897750511247
baseline,car_horn_background,21,24,0.9468302658486708
noise-aware,car_horn_background,21,24,0.9501022494887525
baseline,car_horn_background,24,-3,0.7055214723926381
noise-aware,car_horn_background,24,-3,0.5969325153374233
baseline,car_horn_background,24,0,0.801840490797546
noise-aware,car_horn_background,24,0,0.689161554192229
baseline,car_horn_background,24,3,0.8591002044989775
noise-aware,car_horn_background,24,3,0.7638036809815951
baseline,car_horn_background,24,6,0.8907975460122699
noise-aware,car_horn_background,24,6,0.8298568507157464
baseline,car_horn_background,24,9,0.9079754601226994
noise-aware,car_horn_background,24,9,0.8760736196319019
baseline,car_horn_background,24,12,0.9222903885480572
noise-aware,car_horn_background,24,12,0.9032719836400818
baseline,car_horn_background,24,15,0.9319018404907975
noise-aware,car_horn_background,24,15,0.9235173824130879
baseline,car_horn_background,24,18,0.9408997955010225
noise-aware,car_horn_background,24,18,0.939877300613497
baseline,car_horn_background,24,21,0.9433537832310839
noise-aware,car_horn_background,24,21,0.945398773006135
baseline,car_horn_background,24,24,0.947239263803681
noise-aware,car_horn_background,24,24,0.9501022494887525
baseline,dog_bark_foreground,-3,-3,0.8404907975460123
noise-aware,dog_bark_foreground,-3,-3,0.8374233128834356
baseline,dog_bark_foreground,-3,0,0.870756646216769
noise-aware,dog_bark_foreground,-3,0,0.869120654396728
baseline,dog_bark_foreground,-3,3,0.894478527607362
noise-aware,dog_bark_foreground,-3,3,0.8920245398773006
baseline,dog_bark_foreground,-3,6,0.9137014314928426
noise-aware,dog_bark_foreground,-3,6,0.9112474437627812
baseline,dog_bark_foreground,-3,9,0.9278118609406953
noise-aware,dog_bark_foreground,-3,9,0.9226993865030675
baseline,dog_bark_foreground,-3,12,0.9361963190184049
noise-aware,dog_bark_foreground,-3,12,0.9343558282208589
baseline,dog_bark_foreground,-3,15,0.9462167689161555
noise-aware,dog_bark_foreground,-3,15,0.9468302658486708
baseline,dog_bark_foreground,-3,18,0.9505112474437628
noise-aware,dog_bark_foreground,-3,18,0.9533742331288344
baseline,dog_bark_foreground,-3,21,0.9554192229038855
noise-aware,dog_bark_foreground,-3,21,0.9566462167689161
baseline,dog_bark_foreground,-3,24,0.9576687116564417
noise-aware,dog_bark_foreground,-3,24,0.9588957055214724
baseline,dog_bark_foreground,0,-3,0.839877300613497
noise-aware,dog_bark_foreground,0,-3,0.8357873210633947
baseline,dog_bark_foreground,0,0,0.8713701431492843
noise-aware,dog_bark_foreground,0,0,0.8674846625766871
baseline,dog_bark_foreground,0,3,0.8936605316973415
noise-aware,dog_bark_foreground,0,3,0.8914110429447852
baseline,dog_bark_foreground,0,6,0.9134969325153375
noise-aware,dog_bark_foreground,0,6,0.9102249488752556
baseline,dog_bark_foreground,0,9,0.92719836400818
noise-aware,dog_bark_foreground,0,9,0.9229038854805726
baseline,dog_bark_foreground,0,12,0.93640081799591
noise-aware,dog_bark_foreground,0,12,0.9335378323108384
baseline,dog_bark_foreground,0,15,0.9462167689161555
noise-aware,dog_bark_foreground,0,15,0.9462167689161555
baseline,dog_bark_foreground,0,18,0.9505112474437628
noise-aware,dog_bark_foreground,0,18,0.9531697341513292
baseline,dog_bark_foreground,0,21,0.9548057259713701
noise-aware,dog_bark_foreground,0,21,0.9572597137014315
baseline,dog_bark_foreground,0,24,0.9576687116564417
noise-aware,dog_bark_foreground,0,24,0.9584867075664621
baseline,dog_bark_foreground,3,-3,0.8366053169734151
noise-aware,dog_bark_foreground,3,-3,0.8353783231083844
baseline,dog_bark_foreground,3,0,0.8697341513292434
noise-aware,dog_bark_foreground,3,0,0.8666666666666667
baseline,dog_bark_foreground,3,3,0.8930470347648262
noise-aware,dog_bark_foreground,3,3,0.8914110429447852
baseline,dog_bark_foreground,3,6,0.9124744376278119
noise-aware,dog_bark_foreground,3,6,0.9096114519427403
baseline,dog_bark_foreground,3,9,0.9259713701431492
noise-aware,dog_bark_foreground,3,9,0.9224948875255624
baseline,dog_bark_foreground,3,12,0.9359918200408998
noise-aware,dog_bark_foreground,3,12,0.9339468302658487
baseline,dog_bark_foreground,3,15,0.9460122699386503
noise-aware,dog_bark_foreground,3,15,0.9460122699386503
baseline,dog_bark_foreground,3,18,0.9503067484662576
noise-aware,dog_bark_foreground,3,18,0.9529652351738241
baseline,dog_bark_foreground,3,21,0.9539877300613497
noise-aware,dog_bark_foreground,3,21,0.9568507157464212
baseline,dog_bark_foreground,3,24,0.9578732106339468
noise-aware,dog_bark_foreground,3,24,0.9586912065439673
baseline,dog_bark_foreground,6,-3,0.8351738241308794
noise-aware,dog_bark_foreground,6,-3,0.8339468302658487
baseline,dog_bark_foreground,6,0,0.8687116564417178
noise-aware,dog_bark_foreground,6,0,0.8650306748466258
baseline,dog_bark_foreground,6,3,0.8916155419222904
noise-aware,dog_bark_foreground,6,3,0.8910020449897751
baseline,dog_bark_foreground,6,6,0.9122699386503067
noise-aware,dog_bark_foreground,6,6,0.9085889570552147
baseline,dog_bark_foreground,6,9,0.9263803680981595
noise-aware,dog_bark_foreground,6,9,0.9220858895705522
baseline,dog_bark_foreground,6,12,0.9357873210633947
noise-aware,dog_bark_foreground,6,12,0.9339468302658487
baseline,dog_bark_foreground,6,15,0.9449897750511247
noise-aware,dog_bark_foreground,6,15,0.9460122699386503
baseline,dog_bark_foreground,6,18,0.9505112474437628
noise-aware,dog_bark_foreground,6,18,0.9529652351738241
baseline,dog_bark_foreground,6,21,0.9539877300613497
noise-aware,dog_bark_foreground,6,21,0.9564417177914111
baseline,dog_bark_foreground,6,24,0.9572597137014315
noise-aware,dog_bark_foreground,6,24,0.9584867075664621
baseline,dog_bark_foreground,9,-3,0.834560327198364
noise-aware,dog_bark_foreground,9,-3,0.832719836400818
baseline,dog_bark_foreground,9,0,0.8685071574642127
noise-aware,dog_bark_foreground,9,0,0.8646216768916155
baseline,dog_bark_foreground,9,3,0.8914110429447852
noise-aware,dog_bark_foreground,9,3,0.8912065439672802
baseline,dog_bark_foreground,9,6,0.9114519427402863
noise-aware,dog_bark_foreground,9,6,0.9081799591002045
baseline,dog_bark_foreground,9,9,0.9261758691206544
noise-aware,dog_bark_foreground,9,9,0.9222903885480572
baseline,dog_bark_foreground,9,12,0.9361963190184049
noise-aware,dog_bark_foreground,9,12,0.9337423312883436
baseline,dog_bark_foreground,9,15,0.9449897750511247
noise-aware,dog_bark_foreground,9,15,0.9458077709611452
baseline,dog_bark_foreground,9,18,0.9505112474437628
noise-aware,dog_bark_foreground,9,18,0.9535787321063395
baseline,dog_bark_foreground,9,21,0.9537832310838446
noise-aware,dog_bark_foreground,9,21,0.9562372188139059
baseline,dog_bark_foreground,9,24,0.9570552147239264
noise-aware,dog_bark_foreground,9,24,0.9593047034764827
baseline,dog_bark_foreground,12,-3,0.8339468302658487
noise-aware,dog_bark_foreground,12,-3,0.8314928425357874
baseline,dog_bark_foreground,12,0,0.8680981595092024
noise-aware,dog_bark_foreground,12,0,0.8642126789366054
baseline,dog_bark_foreground,12,3,0.8914110429447852
noise-aware,dog_bark_foreground,12,3,0.8889570552147239
baseline,dog_bark_foreground,12,6,0.9114519427402863
noise-aware,dog_bark_foreground,12,6,0.9065439672801636
baseline,dog_bark_foreground,12,9,0.9259713701431492
noise-aware,dog_bark_foreground,12,9,0.9229038854805726
baseline,dog_bark_foreground,12,12,0.9359918200408998
noise-aware,dog_bark_foreground,12,12,0.9343558282208589
baseline,dog_bark_foreground,12,15,0.9445807770961145
noise-aware,dog_bark_foreground,12,15,0.9445807770961145
baseline,dog_bark_foreground,12,18,0.9505112474437628
noise-aware,dog_bark_foreground,12,18,0.9525562372188139
baseline,dog_bark_foreground,12,21,0.9533742331288344
noise-aware,dog_bark_foreground,12,21,0.9562372188139059
baseline,dog_bark_foreground,12,24,0.9564417177914111
noise-aware,dog_bark_foreground,12,24,0.9591002044989775
baseline,dog_bark_foreground,15,-3,0.8333333333333334
noise-aware,dog_bark_foreground,15,-3,0.8312883435582822
baseline,dog_bark_foreground,15,0,0.867280163599182
noise-aware,dog_bark_foreground,15,0,0.8633946830265848
baseline,dog_bark_foreground,15,3,0.8914110429447852
noise-aware,dog_bark_foreground,15,3,0.8885480572597138
baseline,dog_bark_foreground,15,6,0.9114519427402863
noise-aware,dog_bark_foreground,15,6,0.9059304703476483
baseline,dog_bark_foreground,15,9,0.9259713701431492
noise-aware,dog_bark_foreground,15,9,0.9226993865030675
baseline,dog_bark_foreground,15,12,0.9355828220858896
noise-aware,dog_bark_foreground,15,12,0.934560327198364
baseline,dog_bark_foreground,15,15,0.9449897750511247
noise-aware,dog_bark_foreground,15,15,0.9447852760736196
baseline,dog_bark_foreground,15,18,0.9503067484662576
noise-aware,dog_bark_foreground,15,18,0.9527607361963191
baseline,dog_bark_foreground,15,21,0.9533742331288344
noise-aware,dog_bark_foreground,15,21,0.9558282208588957
baseline,dog_bark_foreground,15,24,0.9562372188139059
noise-aware,dog_bark_foreground,15,24,0.9595092024539877
baseline,dog_bark_foreground,18,-3,0.832719836400818
noise-aware,dog_bark_foreground,18,-3,0.8304703476482618
baseline,dog_bark_foreground,18,0,0.8666666666666667
noise-aware,dog_bark_foreground,18,0,0.8625766871165644
baseline,dog_bark_foreground,18,3,0.8905930470347648
noise-aware,dog_bark_foreground,18,3,0.8881390593047035
baseline,dog_bark_foreground,18,6,0.910838445807771
noise-aware,dog_bark_foreground,18,6,0.9057259713701431
baseline,dog_bark_foreground,18,9,0.9247443762781186
noise-aware,dog_bark_foreground,18,9,0.9216768916155419
baseline,dog_bark_foreground,18,12,0.9361963190184049
noise-aware,dog_bark_foreground,18,12,0.9343558282208589
baseline,dog_bark_foreground,18,15,0.9447852760736196
noise-aware,dog_bark_foreground,18,15,0.9445807770961145
baseline,dog_bark_foreground,18,18,0.9496932515337423
noise-aware,dog_bark_foreground,18,18,0.9523517382413088
baseline,dog_bark_foreground,18,21,0.9531697341513292
noise-aware,dog_bark_foreground,18,21,0.9556237218813906
baseline,dog_bark_foreground,18,24,0.9564417177914111
noise-aware,dog_bark_foreground,18,24,0.9601226993865031
baseline,dog_bark_foreground,21,-3,0.8325153374233129
noise-aware,dog_bark_foreground,21,-3,0.8296523517382413
baseline,dog_bark_foreground,21,0,0.8658486707566462
noise-aware,dog_bark_foreground,21,0,0.8613496932515338
baseline,dog_bark_foreground,21,3,0.8903885480572598
noise-aware,dog_bark_foreground,21,3,0.8883435582822086
baseline,dog_bark_foreground,21,6,0.9106339468302659
noise-aware,dog_bark_foreground,21,6,0.9051124744376278
baseline,dog_bark_foreground,21,9,0.9245398773006135
noise-aware,dog_bark_foreground,21,9,0.9210633946830266
baseline,dog_bark_foreground,21,12,0.9357873210633947
noise-aware,dog_bark_foreground,21,12,0.934560327198364
baseline,dog_bark_foreground,21,15,0.9441717791411043
noise-aware,dog_bark_foreground,21,15,0.9441717791411043
baseline,dog_bark_foreground,21,18,0.9494887525562372
noise-aware,dog_bark_foreground,21,18,0.9517382413087935
baseline,dog_bark_foreground,21,21,0.9531697341513292
noise-aware,dog_bark_foreground,21,21,0.9556237218813906
baseline,dog_bark_foreground,21,24,0.9560327198364008
noise-aware,dog_bark_foreground,21,24,0.9601226993865031
baseline,dog_bark_foreground,24,-3,0.8323108384458078
noise-aware,dog_bark_foreground,24,-3,0.8290388548057259
baseline,dog_bark_foreground,24,0,0.865439672801636
noise-aware,dog_bark_foreground,24,0,0.8609406952965235
baseline,dog_bark_foreground,24,3,0.8901840490797546
noise-aware,dog_bark_foreground,24,3,0.8883435582822086
baseline,dog_bark_foreground,24,6,0.9102249488752556
noise-aware,dog_bark_foreground,24,6,0.9051124744376278
baseline,dog_bark_foreground,24,9,0.9249488752556237
noise-aware,dog_bark_foreground,24,9,0.9208588957055215
baseline,dog_bark_foreground,24,12,0.9357873210633947
noise-aware,dog_bark_foreground,24,12,0.9337423312883436
baseline,dog_bark_foreground,24,15,0.9441717791411043
noise-aware,dog_bark_foreground,24,15,0.9441717791411043
baseline,dog_bark_foreground,24,18,0.9496932515337423
noise-aware,dog_bark_foreground,24,18,0.9507157464212679
baseline,dog_bark_foreground,24,21,0.9531697341513292
noise-aware,dog_bark_foreground,24,21,0.9558282208588957
baseline,dog_bark_foreground,24,24,0.9560327198364008
noise-aware,dog_bark_foreground,24,24,0.9601226993865031
baseline,street_music_foreground,-3,-3,0.279959100204499
noise-aware,street_music_foreground,-3,-3,0.34049079754601225
baseline,street_music_foreground,-3,0,0.4570552147239264
noise-aware,street_music_foreground,-3,0,0.5570552147239264
baseline,street_music_foreground,-3,3,0.6550102249488753
noise-aware,street_music_foreground,-3,3,0.7343558282208589
baseline,street_music_foreground,-3,6,0.791002044989775
noise-aware,street_music_foreground,-3,6,0.8374233128834356
baseline,street_music_foreground,-3,9,0.8664621676891615
noise-aware,street_music_foreground,-3,9,0.8879345603271984
baseline,street_music_foreground,-3,12,0.9067484662576687
noise-aware,street_music_foreground,-3,12,0.9120654396728016
baseline,street_music_foreground,-3,15,0.9247443762781186
noise-aware,street_music_foreground,-3,15,0.9288343558282208
baseline,street_music_foreground,-3,18,0.9351738241308793
noise-aware,street_music_foreground,-3,18,0.9368098159509203
baseline,street_music_foreground,-3,21,0.9404907975460123
noise-aware,street_music_foreground,-3,21,0.943558282208589
baseline,street_music_foreground,-3,24,0.9427402862985685
noise-aware,street_music_foreground,-3,24,0.949079754601227
baseline,street_music_foreground,0,-3,0.2752556237218814
noise-aware,street_music_foreground,0,-3,0.33169734151329244
baseline,street_music_foreground,0,0,0.44867075664621675
noise-aware,street_music_foreground,0,0,0.5468302658486708
baseline,street_music_foreground,0,3,0.6503067484662577
noise-aware,street_music_foreground,0,3,0.7288343558282209
baseline,street_music_foreground,0,6,0.7856850715746422
noise-aware,street_music_foreground,0,6,0.8366053169734151
baseline,street_music_foreground,0,9,0.8646216768916155
noise-aware,street_music_foreground,0,9,0.887321063394683
baseline,street_music_foreground,0,12,0.9067484662576687
noise-aware,street_music_foreground,0,12,0.9122699386503067
baseline,street_music_foreground,0,15,0.9245398773006135
noise-aware,street_music_foreground,0,15,0.9294478527607362
baseline,street_music_foreground,0,18,0.9349693251533743
noise-aware,street_music_foreground,0,18,0.9361963190184049
baseline,street_music_foreground,0,21,0.940081799591002
noise-aware,street_music_foreground,0,21,0.9433537832310839
baseline,street_music_foreground,0,24,0.9431492842535787
noise-aware,street_music_foreground,0,24,0.9496932515337423
baseline,street_music_foreground,3,-3,0.2754601226993865
noise-aware,street_music_foreground,3,-3,0.3257668711656442
baseline,street_music_foreground,3,0,0.4458077709611452
noise-aware,street_music_foreground,3,0,0.5392638036809816
baseline,street_music_foreground,3,3,0.6494887525562372
noise-aware,street_music_foreground,3,3,0.7261758691206543
baseline,street_music_foreground,3,6,0.7848670756646217
noise-aware,street_music_foreground,3,6,0.8353783231083844
baseline,street_music_foreground,3,9,0.8642126789366054
noise-aware,street_music_foreground,3,9,0.8875255623721882
baseline,street_music_foreground,3,12,0.907157464212679
noise-aware,street_music_foreground,3,12,0.912883435582822
baseline,street_music_foreground,3,15,0.9263803680981595
noise-aware,street_music_foreground,3,15,0.9284253578732107
baseline,street_music_foreground,3,18,0.9351738241308793
noise-aware,street_music_foreground,3,18,0.9357873210633947
baseline,street_music_foreground,3,21,0.9404907975460123
noise-aware,street_music_foreground,3,21,0.9427402862985685
baseline,street_music_foreground,3,24,0.945398773006135
noise-aware,street_music_foreground,3,24,0.9496932515337423
baseline,street_music_foreground,6,-3,0.2734151329243354
noise-aware,street_music_foreground,6,-3,0.32515337423312884
baseline,street_music_foreground,6,0,0.44069529652351735
noise-aware,street_music_foreground,6,0,0.5384458077709612
baseline,street_music_foreground,6,3,0.6447852760736197
noise-aware,street_music_foreground,6,3,0.7243353783231083
baseline,street_music_foreground,6,6,0.7834355828220859
noise-aware,street_music_foreground,6,6,0.8357873210633947
baseline,street_music_foreground,6,9,0.8642126789366054
noise-aware,street_music_foreground,6,9,0.887321063394683
baseline,street_music_foreground,6,12,0.907157464212679
noise-aware,street_music_foreground,6,12,0.912883435582822
baseline,street_music_foreground,6,15,0.9269938650306748
noise-aware,street_music_foreground,6,15,0.9284253578732107
baseline,street_music_foreground,6,18,0.9347648261758691
noise-aware,street_music_foreground,6,18,0.9351738241308793
baseline,street_music_foreground,6,21,0.940081799591002
noise-aware,street_music_foreground,6,21,0.9427402862985685
baseline,street_music_foreground,6,24,0.9451942740286299
noise-aware,street_music_foreground,6,24,0.9498977505112475
baseline,street_music_foreground,9,-3,0.2701431492842536
noise-aware,street_music_foreground,9,-3,0.3206543967280164
baseline,street_music_foreground,9,0,0.4368098159509202
noise-aware,street_music_foreground,9,0,0.5333333333333333
baseline,street_music_foreground,9,3,0.6404907975460122
noise-aware,street_music_foreground,9,3,0.7235173824130879
baseline,street_music_foreground,9,6,0.7822085889570553
noise-aware,street_music_foreground,9,6,0.8331288343558282
baseline,street_music_foreground,9,9,0.8633946830265848
noise-aware,street_music_foreground,9,9,0.8877300613496932
baseline,street_music_foreground,9,12,0.9061349693251534
noise-aware,street_music_foreground,9,12,0.912678936605317
baseline,street_music_foreground,9,15,0.9269938650306748
noise-aware,street_music_foreground,9,15,0.9286298568507158
baseline,street_music_foreground,9,18,0.9353783231083844
noise-aware,street_music_foreground,9,18,0.9353783231083844
baseline,street_music_foreground,9,21,0.9402862985685072
noise-aware,street_music_foreground,9,21,0.943558282208589
baseline,street_music_foreground,9,24,0.9449897750511247
noise-aware,street_music_foreground,9,24,0.9492842535787321
baseline,street_music_foreground,12,-3,0.2689161554192229
noise-aware,street_music_foreground,12,-3,0.31901840490797545
baseline,street_music_foreground,12,0,0.434560327198364
noise-aware,street_music_foreground,12,0,0.5310838445807771
baseline,street_music_foreground,12,3,0.6376278118609406
noise-aware,street_music_foreground,12,3,0.7214723926380369
baseline,street_music_foreground,12,6,0.7826175869120654
noise-aware,street_music_foreground,12,6,0.8319018404907975
baseline,street_music_foreground,12,9,0.8640081799591002
noise-aware,street_music_foreground,12,9,0.8865030674846626
baseline,street_music_foreground,12,12,0.9059304703476483
noise-aware,street_music_foreground,12,12,0.9124744376278119
baseline,street_music_foreground,12,15,0.9267893660531697
noise-aware,street_music_foreground,12,15,0.9278118609406953
baseline,street_music_foreground,12,18,0.9353783231083844
noise-aware,street_music_foreground,12,18,0.9357873210633947
baseline,street_music_foreground,12,21,0.940081799591002
noise-aware,street_music_foreground,12,21,0.9431492842535787
baseline,street_music_foreground,12,24,0.945398773006135
noise-aware,street_music_foreground,12,24,0.9480572597137015
baseline,street_music_foreground,15,-3,0.26625766871165646
noise-aware,street_music_foreground,15,-3,0.3184049079754601
baseline,street_music_foreground,15,0,0.4329243353783231
noise-aware,street_music_foreground,15,0,0.5294478527607362
baseline,street_music_foreground,15,3,0.6368098159509202
noise-aware,street_music_foreground,15,3,0.7194274028629857
baseline,street_music_foreground,15,6,0.781799591002045
