model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,-3,-3,0.7314928425357873
noise-aware,car_horn_background,-3,-3,0.6231083844580777
baseline,car_horn_background,-3,0,0.8179959100204499
noise-aware,car_horn_background,-3,0,0.7114519427402863
baseline,car_horn_background,-3,3,0.8638036809815951
noise-aware,car_horn_background,-3,3,0.7885480572597137
baseline,car_horn_background,-3,6,0.8946830265848671
noise-aware,car_horn_background,-3,6,0.8447852760736196
baseline,car_horn_background,-3,9,0.908997955010225
noise-aware,car_horn_background,-3,9,0.8865030674846626
baseline,car_horn_background,-3,12,0.9243353783231084
noise-aware,car_horn_background,-3,12,0.9085889570552147
baseline,car_horn_background,-3,15,0.9331288343558283
noise-aware,car_horn_background,-3,15,0.9296523517382413
baseline,car_horn_background,-3,18,0.9396728016359919
noise-aware,car_horn_background,-3,18,0.9404907975460123
baseline,car_horn_background,-3,21,0.9425357873210634
noise-aware,car_horn_background,-3,21,0.947239263803681
baseline,car_horn_background,-3,24,0.9474437627811861
noise-aware,car_horn_background,-3,24,0.9527607361963191
baseline,car_horn_background,0,-3,0.727402862985685
noise-aware,car_horn_background,0,-3,0.6196319018404908
baseline,car_horn_background,0,0,0.8153374233128834
noise-aware,car_horn_background,0,0,0.7098159509202454
baseline,car_horn_background,0,3,0.8631901840490798
noise-aware,car_horn_background,0,3,0.7879345603271983
baseline,car_horn_background,0,6,0.8946830265848671
noise-aware,car_horn_background,0,6,0.843762781186094
baseline,car_horn_background,0,9,0.908997955010225
noise-aware,car_horn_background,0,9,0.8867075664621676
baseline,car_horn_background,0,12,0.9235173824130879
noise-aware,car_horn_background,0,12,0.9079754601226994
baseline,car_horn_background,0,15,0.9341513292433538
noise-aware,car_horn_background,0,15,0.929038854805726
baseline,car_horn_background,0,18,0.9402862985685072
noise-aware,car_horn_background,0,18,0.9404907975460123
baseline,car_horn_background,0,21,0.9433537832310839
noise-aware,car_horn_background,0,21,0.9464212678936605
baseline,car_horn_background,0,24,0.9468302658486708
noise-aware,car_horn_background,0,24,0.9525562372188139
baseline,car_horn_background,3,-3,0.7233128834355829
noise-aware,car_horn_background,3,-3,0.6184049079754601
baseline,car_horn_background,3,0,0.8139059304703476
noise-aware,car_horn_background,3,0,0.7085889570552147
baseline,car_horn_background,3,3,0.8625766871165644
noise-aware,car_horn_background,3,3,0.7860940695296523
baseline,car_horn_background,3,6,0.8946830265848671
noise-aware,car_horn_background,3,6,0.8427402862985685
baseline,car_horn_background,3,9,0.9087934560327199
noise-aware,car_horn_background,3,9,0.8860940695296523
baseline,car_horn_background,3,12,0.9233128834355828
noise-aware,car_horn_background,3,12,0.9083844580777096
baseline,car_horn_background,3,15,0.9347648261758691
noise-aware,car_horn_background,3,15,0.9282208588957055
baseline,car_horn_background,3,18,0.9406952965235174
noise-aware,car_horn_background,3,18,0.9408997955010225
baseline,car_horn_background,3,21,0.9433537832310839
noise-aware,car_horn_background,3,21,0.9470347648261759
baseline,car_horn_background,3,24,0.9478527607361963
noise-aware,car_horn_background,3,24,0.9521472392638037
baseline,car_horn_background,6,-3,0.7214723926380369
noise-aware,car_horn_background,6,-3,0.6161554192229038
baseline,car_horn_background,6,0,0.8128834355828221
noise-aware,car_horn_background,6,0,0.7065439672801636
baseline,car_horn_background,6,3,0.8625766871165644
noise-aware,car_horn_background,6,3,0.7844580777096114
baseline,car_horn_background,6,6,0.8940695296523518
noise-aware,car_horn_background,6,6,0.8415132924335378
baseline,car_horn_background,6,9,0.9094069529652352
noise-aware,car_horn_background,6,9,0.8848670756646216
baseline,car_horn_background,6,12,0.9231083844580777
noise-aware,car_horn_background,6,12,0.9085889570552147
baseline,car_horn_background,6,15,0.9347648261758691
noise-aware,car_horn_background,6,15,0.9276073619631902
baseline,car_horn_background,6,18,0.9408997955010225
noise-aware,car_horn_background,6,18,0.9402862985685072
baseline,car_horn_background,6,21,0.943558282208589
noise-aware,car_horn_background,6,21,0.9466257668711656
baseline,car_horn_background,6,24,0.9476482617586912
noise-aware,car_horn_background,6,24,0.9519427402862985
baseline,car_horn_background,9,-3,0.716359918200409
noise-aware,car_horn_background,9,-3,0.6137014314928425
baseline,car_horn_background,9,0,0.811042944785276
noise-aware,car_horn_background,9,0,0.7040899795501022
baseline,car_horn_background,9,3,0.8627811860940695
noise-aware,car_horn_background,9,3,0.781799591002045
baseline,car_horn_background,9,6,0.8932515337423312
noise-aware,car_horn_background,9,6,0.841717791411043
baseline,car_horn_background,9,9,0.9087934560327199
noise-aware,car_horn_background,9,9,0.8834355828220859
baseline,car_horn_background,9,12,0.9241308793456032
noise-aware,car_horn_background,9,12,0.9087934560327199
baseline,car_horn_background,9,15,0.9349693251533743
noise-aware,car_horn_background,9,15,0.9263803680981595
baseline,car_horn_background,9,18,0.9406952965235174
noise-aware,car_horn_background,9,18,0.9402862985685072
