noise_type,snr_train,snr_test,accuracy
white,-3,-3,0.5543967280163599
white,-3,0,0.65439672801636
white,-3,3,0.6449897750511248
white,-3,6,0.6775051124744377
white,-3,9,0.6924335378323109
white,-3,12,0.7073619631901841
white,-3,15,0.7214723926380369
white,-3,18,0.7302658486707566
white,-3,21,0.7433537832310838
white,-3,24,0.7531697341513293
white,-3,27,0.7529652351738241
white,-3,30,0.7543967280163599
white,0,-3,0.6034764826175869
white,0,0,0.6985685071574642
white,0,3,0.6887525562372188
white,0,6,0.7458077709611451
white,0,9,0.7705521472392638
white,0,12,0.772597137014315
white,0,15,0.7809815950920246
white,0,18,0.7875255623721882
white,0,21,0.7926380368098159
white,0,24,0.8006134969325154
white,0,27,0.8030674846625767
white,0,30,0.8061349693251534
white,3,-3,0.5703476482617587
white,3,0,0.6372188139059305
white,3,3,0.7697341513292434
white,3,6,0.7893660531697342
white,3,9,0.8004089979550102
white,3,12,0.8096114519427403
white,3,15,0.8151329243353783
white,3,18,0.818200408997955
white,3,21,0.8155419222903886
white,3,24,0.8233128834355828
white,3,27,0.8271983640081799
white,3,30,0.8280163599182004
white,6,-3,0.3347648261758691
white,6,0,0.6159509202453988
white,6,3,0.7627811860940695
white,6,6,0.8067484662576687
white,6,9,0.821881390593047
white,6,12,0.8310838445807771
white,6,15,0.8386503067484663
white,6,18,0.8470347648261759
white,6,21,0.8464212678936606
white,6,24,0.8494887525562372
white,6,27,0.849079754601227
white,6,30,0.8525562372188139
white,9,-3,0.3202453987730061
white,9,0,0.596523517382413
white,9,3,0.7361963190184049
white,9,6,0.8034764826175869
white,9,9,0.8284253578732106
white,9,12,0.843558282208589
white,9,15,0.8539877300613496
white,9,18,0.8543967280163599
white,9,21,0.8558282208588958
white,9,24,0.8578732106339468
white,9,27,0.8588957055214724
white,9,30,0.8633946830265848
white,12,-3,0.27750511247443765
white,12,0,0.42862985685071575
white,12,3,0.6871165644171779
white,12,6,0.8104294478527607
white,12,9,0.8566462167689162
white,12,12,0.870756646216769
white,12,15,0.8773006134969326
white,12,18,0.8879345603271984
white,12,21,0.8905930470347648
white,12,24,0.8930470347648262
white,12,27,0.8948875255623722
white,12,30,0.8973415132924335
white,15,-3,0.16155419222903886
white,15,0,0.35480572597137017
white,15,3,0.5991820040899796
white,15,6,0.7611451942740286
white,15,9,0.8488752556237219
white,15,12,0.8768916155419223
white,15,15,0.8883435582822086
white,15,18,0.8973415132924335
white,15,21,0.9030674846625767
white,15,24,0.9049079754601227
white,15,27,0.903476482617587
white,15,30,0.908997955010225
white,18,-3,0.14785276073619633
white,18,0,0.36830265848670757
white,18,3,0.5220858895705521
white,18,6,0.7609406952965235
white,18,9,0.8425357873210634
white,18,12,0.8840490797546012
white,18,15,0.8946830265848671
white,18,18,0.907157464212679
white,18,21,0.9106339468302659
