noise_type,snr_train,snr_test,accuracy
white,15,18,0.8946830265848671
white,15,21,0.8987730061349694
white,15,24,0.9020449897750511
white,15,27,0.9038854805725971
white,15,30,0.9069529652351738
white,18,-3,0.17157464212678936
white,18,0,0.33680981595092024
white,18,3,0.5286298568507157
white,18,6,0.743558282208589
white,18,9,0.8302658486707567
white,18,12,0.8713701431492843
white,18,15,0.8952965235173824
white,18,18,0.9020449897750511
white,18,21,0.9083844580777096
white,18,24,0.9102249488752556
white,18,27,0.9130879345603272
white,18,30,0.9169734151329243
white,21,-3,0.1689161554192229
white,21,0,0.3496932515337423
white,21,3,0.44130879345603274
white,21,6,0.7047034764826176
white,21,9,0.8411042944785276
white,21,12,0.8852760736196319
white,21,15,0.9083844580777096
white,21,18,0.9122699386503067
white,21,21,0.9167689161554192
white,21,24,0.9216768916155419
white,21,27,0.9233128834355828
white,21,30,0.9267893660531697
white,24,-3,0.17239263803680982
white,24,0,0.3159509202453988
white,24,3,0.5445807770961145
white,24,6,0.7284253578732106
white,24,9,0.8143149284253579
white,24,12,0.8824130879345603
white,24,15,0.8983640081799591
white,24,18,0.918200408997955
white,24,21,0.9237218813905931
white,24,24,0.9276073619631902
white,24,27,0.9314928425357873
white,24,30,0.9339468302658487
white,27,-3,0.17239263803680982
white,27,0,0.22842535787321064
white,27,3,0.438241308793456
white,27,6,0.7059304703476482
white,27,9,0.8347648261758691
white,27,12,0.8760736196319019
white,27,15,0.9032719836400818
white,27,18,0.9177914110429448
white,27,21,0.9263803680981595
white,27,24,0.9302658486707567
white,27,27,0.9355828220858896
white,27,30,0.938036809815951
white,30,-3,0.10633946830265849
white,30,0,0.20429447852760735
white,30,3,0.4607361963190184
white,30,6,0.6312883435582822
white,30,9,0.7883435582822086
white,30,12,0.8889570552147239
white,30,15,0.907157464212679
white,30,18,0.9220858895705522
white,30,21,0.9292433537832311
white,30,24,0.93640081799591
white,30,27,0.9394683026584867
white,30,30,0.943762781186094
pink,-3,-3,0.4938650306748466
pink,-3,0,0.5593047034764826
pink,-3,3,0.6212678936605317
pink,-3,6,0.6656441717791411
pink,-3,9,0.6881390593047034
pink,-3,12,0.7047034764826176
pink,-3,15,0.7302658486707566
pink,-3,18,0.7443762781186094
pink,-3,21,0.7566462167689162
pink,-3,24,0.7566462167689162
pink,-3,27,0.7721881390593047
pink,-3,30,0.7736196319018405
pink,0,-3,0.4359918200408998
pink,0,0,0.621676891615542
pink,0,3,0.6740286298568507
pink,0,6,0.718200408997955
pink,0,9,0.7456032719836401
pink,0,12,0.7730061349693251
pink,0,15,0.7803680981595092
pink,0,18,0.7869120654396728
pink,0,21,0.7965235173824131
pink,0,24,0.8047034764826176
pink,0,27,0.8116564417177914
pink,0,30,0.8169734151329243
pink,3,-3,0.4668711656441718
pink,3,0,0.647239263803681
pink,3,3,0.69079754601227
pink,3,6,0.7732106339468303
pink,3,9,0.7852760736196319
pink,3,12,0.7916155419222903
