noise_type,snr_train,snr_test,accuracy
white,30,12,0.8666666666666667
white,30,15,0.8991820040899795
white,30,18,0.9212678936605317
white,30,21,0.9286298568507158
white,30,24,0.9319018404907975
white,30,27,0.9394683026584867
white,30,30,0.941922290388548
pink,-3,-3,0.5233128834355828
pink,-3,0,0.5701431492842536
pink,-3,3,0.6411042944785276
pink,-3,6,0.6783231083844581
pink,-3,9,0.692842535787321
pink,-3,12,0.7118609406952965
pink,-3,15,0.7366053169734151
pink,-3,18,0.7498977505112474
pink,-3,21,0.7586912065439673
pink,-3,24,0.7646216768916155
pink,-3,27,0.776278118609407
pink,-3,30,0.7832310838445807
pink,0,-3,0.45439672801635994
pink,0,0,0.6411042944785276
pink,0,3,0.6858895705521473
pink,0,6,0.7241308793456033
pink,0,9,0.7433537832310838
pink,0,12,0.7740286298568507
pink,0,15,0.7811860940695297
pink,0,18,0.7914110429447853
pink,0,21,0.7993865030674847
pink,0,24,0.805316973415133
pink,0,27,0.814519427402863
pink,0,30,0.8188139059304703
pink,3,-3,0.48282208588957054
pink,3,0,0.6666666666666666
pink,3,3,0.7251533742331289
pink,3,6,0.7850715746421267
pink,3,9,0.7971370143149284
pink,3,12,0.8079754601226994
pink,3,15,0.8208588957055215
pink,3,18,0.8233128834355828
pink,3,21,0.834560327198364
pink,3,24,0.838036809815951
pink,3,27,0.8429447852760736
pink,3,30,0.84560327198364
pink,6,-3,0.25644171779141106
pink,6,0,0.5388548057259713
pink,6,3,0.7139059304703477
pink,6,6,0.7955010224948875
pink,6,9,0.8286298568507158
pink,6,12,0.8404907975460123
pink,6,15,0.8507157464212679
pink,6,18,0.8607361963190184
pink,6,21,0.8678936605316974
pink,6,24,0.8734151329243354
pink,6,27,0.872597137014315
pink,6,30,0.8758691206543967
pink,9,-3,0.2265848670756646
pink,9,0,0.47934560327198367
pink,9,3,0.6312883435582822
pink,9,6,0.7918200408997955
pink,9,9,0.8415132924335378
pink,9,12,0.8550102249488752
pink,9,15,0.868916155419223
pink,9,18,0.878118609406953
pink,9,21,0.8871165644171779
pink,9,24,0.8858895705521472
pink,9,27,0.8905930470347648
pink,9,30,0.8926380368098159
pink,12,-3,0.15521472392638036
pink,12,0,0.26134969325153373
pink,12,3,0.5458077709611452
pink,12,6,0.7265848670756646
pink,12,9,0.8466257668711656
pink,12,12,0.870961145194274
pink,12,15,0.8875255623721882
pink,12,18,0.8967280163599182
pink,12,21,0.9049079754601227
pink,12,24,0.9040899795501023
pink,12,27,0.9102249488752556
pink,12,30,0.9137014314928426
pink,15,-3,0.10368098159509202
pink,15,0,0.2427402862985685
pink,15,3,0.4492842535787321
pink,15,6,0.7114519427402863
pink,15,9,0.8047034764826176
pink,15,12,0.867280163599182
pink,15,15,0.8924335378323108
pink,15,18,0.9042944785276074
pink,15,21,0.9118609406952966
pink,15,24,0.9132924335378323
pink,15,27,0.9218813905930471
pink,15,30,0.9229038854805726
pink,18,-3,0.09284253578732106
pink,18,0,0.17484662576687116
pink,18,3,0.34478527607361964
pink,18,6,0.6179959100204498
pink,18,9,0.7492842535787321
pink,18,12,0.8738241308793456
pink,18,15,0.9
pink,18,18,0.912883435582822
pink,18,21,0.9210633946830266
pink,18,24,0.9261758691206544
pink,18,27,0.9278118609406953
pink,18,30,0.9316973415132924
pink,21,-3,0.09120654396728016
pink,21,0,0.14867075664621676
pink,21,3,0.34049079754601225
pink,21,6,0.5811860940695297
pink,21,9,0.7640081799591002
pink,21,12,0.8705521472392638
pink,21,15,0.9030674846625767
pink,21,18,0.916359918200409
pink,21,21,0.9202453987730062
pink,21,24,0.9286298568507158
pink,21,27,0.9331288343558283
pink,21,30,0.93640081799591
pink,24,-3,0.08854805725971371
pink,24,0,0.1525562372188139
pink,24,3,0.27464212678936606
pink,24,6,0.5390593047034765
pink,24,9,0.7380368098159509
pink,24,12,0.865439672801636
pink,24,15,0.9002044989775051
pink,24,18,0.9218813905930471
pink,24,21,0.9276073619631902
pink,24,24,0.9312883435582822
pink,24,27,0.9402862985685072
pink,24,30,0.940081799591002
pink,27,-3,0.08568507157464213
pink,27,0,0.17995910020449898
pink,27,3,0.24151329243353784
pink,27,6,0.4750511247443763
pink,27,9,0.7014314928425358
pink,27,12,0.8359918200408998
pink,27,15,0.8993865030674847
pink,27,18,0.9208588957055215
pink,27,21,0.9298568507157464
pink,27,24,0.9349693251533743
pink,27,27,0.9421267893660532
pink,27,30,0.9486707566462168
pink,30,-3,0.0850715746421268
pink,30,0,0.13680981595092023
pink,30,3,0.24458077709611453
pink,30,6,0.3967280163599182
pink,30,9,0.618200408997955
pink,30,12,0.838241308793456
pink,30,15,0.8879345603271984
pink,30,18,0.9157464212678936
pink,30,21,0.9333333333333333
pink,30,24,0.9378323108384458
pink,30,27,0.9423312883435583
pink,30,30,0.943558282208589
babble,-3,-3,0.5740286298568508
babble,-3,0,0.667280163599182
babble,-3,3,0.7433537832310838
babble,-3,6,0.7936605316973415
babble,-3,9,0.8206543967280163
babble,-3,12,0.841717791411043
babble,-3,15,0.852760736196319
babble,-3,18,0.8623721881390594
babble,-3,21,0.8652351738241308
babble,-3,24,0.8685071574642127
babble,-3,27,0.8715746421267894
babble,-3,30,0.8738241308793456
babble,0,-3,0.591002044989775
babble,0,0,0.6971370143149285
babble,0,3,0.776278118609407
babble,0,6,0.8208588957055215
babble,0,9,0.8535787321063395
babble,0,12,0.8723926380368098
babble,0,15,0.8820040899795502
babble,0,18,0.8881390593047035
babble,0,21,0.8932515337423312
babble,0,24,0.896319018404908
babble,0,27,0.8975460122699387
babble,0,30,0.8987730061349694
babble,3,-3,0.601840490797546
babble,3,0,0.7130879345603272
babble,3,3,0.7965235173824131
babble,3,6,0.8464212678936606
babble,3,9,0.8766871165644172
babble,3,12,0.8928425357873211
babble,3,15,0.9032719836400818
babble,3,18,0.9114519427402863
babble,3,21,0.9155419222903886
babble,3,24,0.916359918200409
babble,3,27,0.918200408997955
babble,3,30,0.9190184049079755
babble,6,-3,0.6002044989775052
babble,6,0,0.7177914110429447
babble,6,3,0.8079754601226994
babble,6,6,0.8609406952965235
babble,6,9,0.8907975460122699
babble,6,12,0.9079754601226994
babble,6,15,0.918200408997955
babble,6,18,0.9243353783231084
babble,6,21,0.9280163599182004
babble,6,24,0.9310838445807771
babble,6,27,0.9319018404907975
babble,6,30,0.9331288343558283
babble,9,-3,0.5660531697341513
babble,9,0,0.712678936605317
babble,9,3,0.8038854805725971
babble,9,6,0.8646216768916155
babble,9,9,0.8948875255623722
babble,9,12,0.9151329243353783
babble,9,15,0.9267893660531697
babble,9,18,0.9321063394683027
babble,9,21,0.9368098159509203
babble,9,24,0.938036809815951
babble,9,27,0.9406952965235174
babble,9,30,0.9431492842535787
babble,12,-3,0.5531697341513292
babble,12,0,0.7067484662576687
babble,12,3,0.805316973415133
babble,12,6,0.8648261758691207
babble,12,9,0.8989775051124744
babble,12,12,0.9177914110429448
babble,12,15,0.9312883435582822
babble,12,18,0.9368098159509203
babble,12,21,0.9406952965235174
babble,12,24,0.9441717791411043
babble,12,27,0.9478527607361963
babble,12,30,0.9478527607361963
babble,15,-3,0.5411042944785276
babble,15,0,0.7020449897750511
babble,15,3,0.8026584867075665
babble,15,6,0.869120654396728
babble,15,9,0.9022494887525563
babble,15,12,0.9214723926380368
babble,15,15,0.9347648261758691
babble,15,18,0.9425357873210634
babble,15,21,0.9464212678936605
babble,15,24,0.947239263803681
babble,15,27,0.9515337423312883
babble,15,30,0.9517382413087935
babble,18,-3,0.5333333333333333
babble,18,0,0.6856850715746421
babble,18,3,0.7993865030674847
babble,18,6,0.8666666666666667
babble,18,9,0.9002044989775051
babble,18,12,0.9233128834355828
babble,18,15,0.9357873210633947
babble,18,18,0.9439672801635992
babble,18,21,0.9456032719836401
babble,18,24,0.9503067484662576
babble,18,27,0.9539877300613497
babble,18,30,0.9550102249488752
babble,21,-3,0.5212678936605317
babble,21,0,0.6623721881390593
babble,21,3,0.7789366053169734
babble,21,6,0.8513292433537832
babble,21,9,0.8977505112474438
babble,21,12,0.9190184049079755
babble,21,15,0.9351738241308793
babble,21,18,0.9429447852760736
babble,21,21,0.9464212678936605
babble,21,24,0.9482617586912065
babble,21,27,0.9531697341513292
babble,21,30,0.9539877300613497
babble,24,-3,0.5004089979550103
babble,24,0,0.6392638036809816
babble,24,3,0.7595092024539877
babble,24,6,0.8392638036809816
babble,24,9,0.8891615541922291
babble,24,12,0.912883435582822
babble,24,15,0.9323108384458078
babble,24,18,0.9394683026584867
babble,24,21,0.945398773006135
babble,24,24,0.9482617586912065
babble,24,27,0.950920245398773
babble,24,30,0.9533742331288344
babble,27,-3,0.4865030674846626
babble,27,0,0.6261758691206544
babble,27,3,0.7529652351738241
babble,27,6,0.8325153374233129
babble,27,9,0.8867075664621676
babble,27,12,0.9106339468302659
babble,27,15,0.9286298568507158
babble,27,18,0.9355828220858896
babble,27,21,0.9429447852760736
babble,27,24,0.9474437627811861
babble,27,27,0.9498977505112475
babble,27,30,0.9517382413087935
babble,30,-3,0.4717791411042945
babble,30,0,0.6069529652351738
babble,30,3,0.7421267893660531
babble,30,6,0.8188139059304703
babble,30,9,0.8760736196319019
babble,30,12,0.9044989775051124
babble,30,15,0.9216768916155419
babble,30,18,0.9331288343558283
babble,30,21,0.939877300613497
babble,30,24,0.9431492842535787
babble,30,27,0.9476482617586912
babble,30,30,0.949079754601227
car_horn_background,-3,-3,0.7574642126789366
car_horn_background,-3,0,0.7957055214723926
car_horn_background,-3,3,0.8141104294478527
car_horn_background,-3,6,0.8249488752556238
car_horn_background,-3,9,0.8404907975460123
car_horn_background,-3,12,0.8503067484662576
car_horn_background,-3,15,0.8623721881390594
car_horn_background,-3,18,0.8711656441717791
car_horn_background,-3,21,0.8773006134969326
car_horn_background,-3,24,0.8803680981595092
car_horn_background,-3,27,0.8826175869120655
car_horn_background,-3,30,0.8860940695296523
car_horn_background,0,-3,0.7574642126789366
car_horn_background,0,0,0.8079754601226994
car_horn_background,0,3,0.8378323108384458
car_horn_background,0,6,0.8578732106339468
car_horn_background,0,9,0.8721881390593047
car_horn_background,0,12,0.8779141104294479
car_horn_background,0,15,0.8860940695296523
car_horn_background,0,18,0.8957055214723927
car_horn_background,0,21,0.8989775051124744
car_horn_background,0,24,0.9024539877300614
car_horn_background,0,27,0.9075664621676892
car_horn_background,0,30,0.908997955010225
car_horn_background,3,-3,0.7513292433537833
car_horn_background,3,0,0.8169734151329243
