noise_type,snr_train,snr_test,accuracy
white,-3,-3,0.47770961145194274
white,-3,0,0.6222903885480573
white,-3,3,0.6568507157464213
white,-3,6,0.6768916155419223
white,-3,9,0.7022494887525562
white,-3,12,0.7222903885480573
white,-3,15,0.7235173824130879
white,-3,18,0.7398773006134969
white,-3,21,0.7486707566462167
white,-3,24,0.7494887525562373
white,-3,27,0.7621676891615542
white,-3,30,0.7662576687116565
white,0,-3,0.47280163599182007
white,0,0,0.6089979550102249
white,0,3,0.6388548057259714
white,0,6,0.7008179959100205
white,0,9,0.730879345603272
white,0,12,0.7388548057259714
white,0,15,0.7584867075664622
white,0,18,0.7568507157464213
white,0,21,0.7607361963190185
white,0,24,0.7674846625766871
white,0,27,0.7689161554192229
white,0,30,0.7723926380368098
white,3,-3,0.3300613496932515
white,3,0,0.4785276073619632
white,3,3,0.5732106339468303
white,3,6,0.6930470347648262
white,3,9,0.7243353783231083
white,3,12,0.7310838445807771
white,3,15,0.7425357873210634
white,3,18,0.7515337423312883
white,3,21,0.7556237218813906
white,3,24,0.7638036809815951
white,3,27,0.7660531697341514
white,3,30,0.7662576687116565
white,6,-3,0.24723926380368097
white,6,0,0.43558282208588955
white,6,3,0.5760736196319018
white,6,6,0.7173824130879346
white,6,9,0.7280163599182005
white,6,12,0.7531697341513293
white,6,15,0.7668711656441718
white,6,18,0.7591002044989775
white,6,21,0.7736196319018405
white,6,24,0.7730061349693251
white,6,27,0.7783231083844581
white,6,30,0.7807770961145194
white,9,-3,0.19713701431492842
white,9,0,0.40470347648261756
white,9,3,0.4952965235173824
white,9,6,0.7456032719836401
white,9,9,0.7969325153374233
white,9,12,0.8208588957055215
white,9,15,0.8284253578732106
white,9,18,0.8310838445807771
white,9,21,0.8357873210633947
white,9,24,0.8372188139059304
white,9,27,0.8408997955010225
white,9,30,0.839877300613497
white,12,-3,0.1310838445807771
white,12,0,0.27321063394683026
white,12,3,0.48711656441717793
white,12,6,0.6678936605316973
white,12,9,0.7987730061349694
white,12,12,0.8149284253578732
white,12,15,0.8368098159509203
white,12,18,0.843762781186094
white,12,21,0.850920245398773
white,12,24,0.8460122699386503
white,12,27,0.8556237218813906
white,12,30,0.8552147239263803
white,15,-3,0.16319018404907976
white,15,0,0.33067484662576685
white,15,3,0.4658486707566462
white,15,6,0.7202453987730061
white,15,9,0.8124744376278119
white,15,12,0.8423312883435583
white,15,15,0.8627811860940695
white,15,18,0.8650306748466258
white,15,21,0.8768916155419223
white,15,24,0.8797546012269939
white,15,27,0.8789366053169734
white,15,30,0.8797546012269939
white,18,-3,0.1443762781186094
white,18,0,0.26134969325153373
white,18,3,0.423721881390593
white,18,6,0.6738241308793456
white,18,9,0.7676891615541922
white,18,12,0.8237218813905931
white,18,15,0.8548057259713702
white,18,18,0.8721881390593047
white,18,21,0.8754601226993866
white,18,24,0.8826175869120655
white,18,27,0.8828220858895706
white,18,30,0.8891615541922291
white,21,-3,0.1423312883435583
white,21,0,0.24049079754601227
white,21,3,0.40572597137014316
white,21,6,0.5319018404907976
white,21,9,0.7660531697341514
white,21,12,0.8443762781186094
white,21,15,0.8656441717791411
white,21,18,0.8881390593047035
white,21,21,0.8924335378323108
white,21,24,0.8910020449897751
white,21,27,0.9002044989775051
white,21,30,0.9012269938650307
white,24,-3,0.10368098159509202
white,24,0,0.21738241308793457
white,24,3,0.4196319018404908
white,24,6,0.6370143149284253
white,24,9,0.7666666666666667
white,24,12,0.8165644171779141
white,24,15,0.8646216768916155
white,24,18,0.8826175869120655
white,24,21,0.8877300613496932
white,24,24,0.8977505112474438
white,24,27,0.9020449897750511
white,24,30,0.9047034764826176
white,27,-3,0.11922290388548057
white,27,0,0.23415132924335377
white,27,3,0.37321063394683024
white,27,6,0.5656441717791411
white,27,9,0.7480572597137014
white,27,12,0.8531697341513292
white,27,15,0.8877300613496932
white,27,18,0.9014314928425358
white,27,21,0.9038854805725971
white,27,24,0.9132924335378323
white,27,27,0.9159509202453988
white,27,30,0.9184049079754601
white,30,-3,0.12085889570552147
white,30,0,0.21881390593047034
white,30,3,0.4179959100204499
white,30,6,0.591002044989775
white,30,9,0.7775051124744377
white,30,12,0.8441717791411043
white,30,15,0.874642126789366
white,30,18,0.8979550102249488
white,30,21,0.9059304703476483
white,30,24,0.907157464212679
white,30,27,0.9118609406952966
white,30,30,0.912678936605317
pink,-3,-3,0.37157464212678937
pink,-3,0,0.49979550102249487
pink,-3,3,0.5852760736196319
pink,-3,6,0.621676891615542
pink,-3,9,0.6803680981595092
pink,-3,12,0.6838445807770961
pink,-3,15,0.7040899795501022
pink,-3,18,0.725562372188139
pink,-3,21,0.7269938650306749
pink,-3,24,0.7400817995910021
pink,-3,27,0.7505112474437627
pink,-3,30,0.7601226993865031
pink,0,-3,0.38404907975460123
pink,0,0,0.49100204498977507
pink,0,3,0.6333333333333333
pink,0,6,0.6901840490797546
pink,0,9,0.714519427402863
pink,0,12,0.7257668711656442
pink,0,15,0.7521472392638037
pink,0,18,0.7597137014314929
pink,0,21,0.7670756646216769
pink,0,24,0.7754601226993865
pink,0,27,0.7824130879345603
pink,0,30,0.7918200408997955
pink,3,-3,0.23905930470347647
pink,3,0,0.4120654396728016
pink,3,3,0.5556237218813906
pink,3,6,0.7147239263803681
pink,3,9,0.7498977505112474
pink,3,12,0.7664621676891615
pink,3,15,0.7807770961145194
pink,3,18,0.7905930470347649
pink,3,21,0.7938650306748466
pink,3,24,0.7983640081799591
pink,3,27,0.8026584867075665
pink,3,30,0.7977505112474438
pink,6,-3,0.18220858895705522
pink,6,0,0.35991820040899797
pink,6,3,0.6118609406952965
pink,6,6,0.6875255623721881
pink,6,9,0.7586912065439673
pink,6,12,0.7746421267893661
pink,6,15,0.7899795501022495
pink,6,18,0.8032719836400818
pink,6,21,0.8028629856850715
pink,6,24,0.8149284253578732
pink,6,27,0.80920245398773
pink,6,30,0.8171779141104294
pink,9,-3,0.13844580777096113
pink,9,0,0.25807770961145193
pink,9,3,0.4897750511247444
pink,9,6,0.6877300613496933
pink,9,9,0.7476482617586913
pink,9,12,0.798159509202454
pink,9,15,0.8112474437627812
pink,9,18,0.8247443762781186
pink,9,21,0.8339468302658487
pink,9,24,0.8372188139059304
pink,9,27,0.8421267893660531
pink,9,30,0.8433537832310839
pink,12,-3,0.12269938650306748
pink,12,0,0.23067484662576687
pink,12,3,0.37791411042944784
pink,12,6,0.6955010224948875
pink,12,9,0.7768916155419223
pink,12,12,0.8137014314928426
pink,12,15,0.8310838445807771
pink,12,18,0.849284253578732
pink,12,21,0.8543967280163599
pink,12,24,0.8605316973415132
pink,12,27,0.8603271983640082
pink,12,30,0.8650306748466258
pink,15,-3,0.10531697341513292
pink,15,0,0.2278118609406953
pink,15,3,0.4194274028629857
pink,15,6,0.6578732106339469
pink,15,9,0.7959100204498978
pink,15,12,0.83640081799591
pink,15,15,0.8523517382413088
pink,15,18,0.8680981595092024
pink,15,21,0.8703476482617587
pink,15,24,0.8797546012269939
pink,15,27,0.8828220858895706
pink,15,30,0.8844580777096115
pink,18,-3,0.09406952965235174
pink,18,0,0.17975460122699385
pink,18,3,0.36482617586912064
pink,18,6,0.589161554192229
pink,18,9,0.749079754601227
pink,18,12,0.8271983640081799
pink,18,15,0.8576687116564418
pink,18,18,0.8717791411042944
pink,18,21,0.8834355828220859
pink,18,24,0.8858895705521472
pink,18,27,0.8907975460122699
pink,18,30,0.8942740286298568
pink,21,-3,0.08404907975460123
pink,21,0,0.18650306748466258
pink,21,3,0.330879345603272
pink,21,6,0.5513292433537832
pink,21,9,0.7179959100204499
pink,21,12,0.818200408997955
pink,21,15,0.8680981595092024
pink,21,18,0.8881390593047035
pink,21,21,0.887321063394683
