noise_type,snr,accuracyFullPrecision,accuracyBinaryWeight,accuracyFullBinary
jackhammer_background,27,0.9488752556237219,0.9302658486707567,0.8932515337423312
siren_background,27,0.9521472392638037,0.9359918200408998,0.907157464212679
street_music_background,27,0.9638036809815951,0.950920245398773,0.92719836400818
air_conditioner_foreground,27,0.9607361963190184,0.950920245398773,0.9188139059304703
car_horn_foreground,27,0.9537832310838446,0.9451942740286299,0.9157464212678936
children_playing_foreground,27,0.9537832310838446,0.940081799591002,0.9102249488752556
dog_bark_foreground,27,0.9601226993865031,0.9384458077709611,0.9239263803680982
drilling_foreground,27,0.9517382413087935,0.9411042944785276,0.9024539877300614
engine_idling_foreground,27,0.9625766871165644,0.9496932515337423,0.9278118609406953
gun_shot_foreground,27,0.9570552147239264,0.9447852760736196,0.9122699386503067
jackhammer_foreground,27,0.9466257668711656,0.9333333333333333,0.903680981595092
siren_foreground,27,0.9503067484662576,0.9370143149284254,0.9030674846625767
street_music_foreground,27,0.9519427402862985,0.9353783231083844,0.9063394683026584
white,24,0.9494887525562372,0.9294478527607362,0.8957055214723927
pink,24,0.9460122699386503,0.932719836400818,0.8926380368098159
babble,24,0.9550102249488752,0.9466257668711656,0.9081799591002045
air_conditioner_background,24,0.9576687116564417,0.9443762781186094,0.9210633946830266
car_horn_background,24,0.9501022494887525,0.9316973415132924,0.8723926380368098
children_playing_background,24,0.9519427402862985,0.9361963190184049,0.8995910020449898
dog_bark_background,24,0.9361963190184049,0.9139059304703476,0.8826175869120655
drilling_background,24,0.9488752556237219,0.9306748466257668,0.9057259713701431
engine_idling_background,24,0.9468302658486708,0.9368098159509203,0.9012269938650307
gun_shot_background,24,0.9543967280163599,0.945398773006135,0.9137014314928426
jackhammer_background,24,0.9378323108384458,0.9251533742331288,0.8752556237218814
siren_background,24,0.9503067484662576,0.930879345603272,0.8889570552147239
street_music_background,24,0.9633946830265848,0.9505112474437628,0.9186094069529652
air_conditioner_foreground,24,0.9588957055214724,0.9494887525562372,0.9147239263803681
car_horn_foreground,24,0.9519427402862985,0.941717791411043,0.9157464212678936
children_playing_foreground,24,0.9482617586912065,0.9316973415132924,0.9022494887525563
dog_bark_foreground,24,0.9556237218813906,0.9321063394683027,0.9175869120654396
drilling_foreground,24,0.9470347648261759,0.9351738241308793,0.8899795501022495
engine_idling_foreground,24,0.9615541922290388,0.9488752556237219,0.9224948875255624
gun_shot_foreground,24,0.9548057259713701,0.9404907975460123,0.9067484662576687
jackhammer_foreground,24,0.939877300613497,0.9282208588957055,0.8895705521472392
siren_foreground,24,0.9474437627811861,0.9302658486707567,0.8989775051124744
street_music_foreground,24,0.9476482617586912,0.9257668711656442,0.8967280163599182
white,21,0.9384458077709611,0.9265848670756647,0.885480572597137
pink,21,0.9413087934560327,0.9255623721881391,0.8750511247443763
babble,21,0.9521472392638037,0.938241308793456,0.9049079754601227
air_conditioner_background,21,0.9562372188139059,0.9413087934560327,0.9100204498977505
car_horn_background,21,0.9478527607361963,0.9247443762781186,0.854601226993865
children_playing_background,21,0.9456032719836401,0.9292433537832311,0.8985685071574642
dog_bark_background,21,0.9229038854805726,0.8952965235173824,0.8713701431492843
drilling_background,21,0.943762781186094,0.9222903885480572,0.8948875255623722
engine_idling_background,21,0.9443762781186094,0.9296523517382413,0.8924335378323108
gun_shot_background,21,0.9505112474437628,0.9404907975460123,0.9049079754601227
jackhammer_background,21,0.9296523517382413,0.9153374233128835,0.8613496932515338
siren_background,21,0.9427402862985685,0.9220858895705522,0.879959100204499
street_music_background,21,0.961758691206544,0.9496932515337423,0.9194274028629856
air_conditioner_foreground,21,0.9570552147239264,0.9449897750511247,0.9087934560327199
car_horn_foreground,21,0.9466257668711656,0.9396728016359919,0.9044989775051124
children_playing_foreground,21,0.941922290388548,0.9231083844580777,0.8912065439672802
dog_bark_foreground,21,0.9529652351738241,0.9249488752556237,0.9106339468302659
drilling_foreground,21,0.941717791411043,0.9231083844580777,0.8734151329243354
engine_idling_foreground,21,0.9601226993865031,0.9480572597137015,0.9141104294478528
gun_shot_foreground,21,0.9513292433537832,0.9349693251533743,0.8955010224948875
jackhammer_foreground,21,0.9316973415132924,0.9210633946830266,0.8736196319018404
siren_foreground,21,0.9423312883435583,0.9173824130879346,0.885480572597137
street_music_foreground,21,0.9433537832310839,0.9122699386503067,0.8770961145194274
white,18,0.9314928425357873,0.914519427402863,0.8642126789366054
pink,18,0.932719836400818,0.9139059304703476,0.8586912065439672
babble,18,0.9468302658486708,0.9329243353783231,0.8910020449897751
air_conditioner_background,18,0.9513292433537832,0.9368098159509203,0.9006134969325154
car_horn_background,18,0.9439672801635992,0.9169734151329243,0.8255623721881391
children_playing_background,18,0.9378323108384458,0.9192229038854806,0.8787321063394683
dog_bark_background,18,0.8955010224948875,0.8732106339468303,0.8468302658486707
drilling_background,18,0.9376278118609407,0.9124744376278119,0.874642126789366
engine_idling_background,18,0.9372188139059304,0.9218813905930471,0.8830265848670756
gun_shot_background,18,0.9482617586912065,0.9357873210633947,0.8946830265848671
jackhammer_background,18,0.9173824130879346,0.9026584867075664,0.838241308793456
siren_background,18,0.9366053169734151,0.9083844580777096,0.8564417177914111
street_music_background,18,0.9597137014314928,0.947239263803681,0.9196319018404908
air_conditioner_foreground,18,0.9517382413087935,0.9411042944785276,0.9032719836400818
car_horn_foreground,18,0.9402862985685072,0.9357873210633947,0.8922290388548058
children_playing_foreground,18,0.9386503067484663,0.9132924335378323,0.8748466257668711
dog_bark_foreground,18,0.9484662576687116,0.9141104294478528,0.905316973415133
drilling_foreground,18,0.9343558282208589,0.9139059304703476,0.8552147239263803
engine_idling_foreground,18,0.9597137014314928,0.9464212678936605,0.9171779141104295
gun_shot_foreground,18,0.9458077709611452,0.9224948875255624,0.8846625766871166
jackhammer_foreground,18,0.9243353783231084,0.9069529652351738,0.8599182004089979
siren_foreground,18,0.934560327198364,0.9022494887525563,0.8815950920245399
street_music_foreground,18,0.9347648261758691,0.896319018404908,0.8562372188139059
white,15,0.8971370143149284,0.8955010224948875,0.8525562372188139
pink,15,0.9069529652351738,0.898159509202454,0.8347648261758691
babble,15,0.9376278118609407,0.9220858895705522,0.8734151329243354
air_conditioner_background,15,0.9445807770961145,0.9312883435582822,0.8856850715746422
car_horn_background,15,0.938241308793456,0.9042944785276074,0.7920245398773006
children_playing_background,15,0.92719836400818,0.9059304703476483,0.8566462167689162
dog_bark_background,15,0.8660531697341514,0.8361963190184049,0.8190184049079755
drilling_background,15,0.9235173824130879,0.8983640081799591,0.8640081799591002
engine_idling_background,15,0.9284253578732107,0.9124744376278119,0.870961145194274
gun_shot_background,15,0.9421267893660532,0.9226993865030675,0.8795501022494887
jackhammer_background,15,0.8969325153374234,0.8830265848670756,0.8079754601226994
siren_background,15,0.9265848670756647,0.8903885480572598,0.8300613496932515
street_music_background,15,0.9576687116564417,0.9445807770961145,0.9137014314928426
air_conditioner_foreground,15,0.9468302658486708,0.9341513292433538,0.896319018404908
car_horn_foreground,15,0.9274028629856851,0.9282208588957055,0.8815950920245399
children_playing_foreground,15,0.9241308793456032,0.8959100204498978,0.8486707566462167
dog_bark_foreground,15,0.9445807770961145,0.9006134969325154,0.8832310838445808
drilling_foreground,15,0.9257668711656442,0.9002044989775051,0.8296523517382413
engine_idling_foreground,15,0.9574642126789366,0.9441717791411043,0.9153374233128835
gun_shot_foreground,15,0.938241308793456,0.911042944785276,0.869120654396728
jackhammer_foreground,15,0.9057259713701431,0.8905930470347648,0.8392638036809816
siren_foreground,15,0.9261758691206544,0.8865030674846626,0.8607361963190184
street_music_foreground,15,0.9196319018404908,0.87280163599182,0.8269938650306748
white,12,0.86359918200409,0.8752556237218814,0.8251533742331288
pink,12,0.8597137014314928,0.8713701431492843,0.8022494887525562
babble,12,0.9224948875255624,0.9051124744376278,0.8482617586912066
air_conditioner_background,12,0.9325153374233128,0.9212678936605317,0.8779141104294479
car_horn_background,12,0.9245398773006135,0.8809815950920246,0.7521472392638037
children_playing_background,12,0.912678936605317,0.8824130879345603,0.8224948875255623
dog_bark_background,12,0.8229038854805726,0.7938650306748466,0.7707566462167689
drilling_background,12,0.9042944785276074,0.876482617586912,0.8386503067484663
engine_idling_background,12,0.9167689161554192,0.901840490797546,0.8548057259713702
gun_shot_background,12,0.9316973415132924,0.8987730061349694,0.8552147239263803
jackhammer_background,12,0.8558282208588958,0.8613496932515338,0.7601226993865031
siren_background,12,0.908997955010225,0.8631901840490798,0.7973415132924335
street_music_background,12,0.9539877300613497,0.9402862985685072,0.901840490797546
air_conditioner_foreground,12,0.9390593047034764,0.9255623721881391,0.8736196319018404
car_horn_foreground,12,0.9114519427402863,0.9190184049079755,0.8670756646216768
children_playing_foreground,12,0.9028629856850716,0.8701431492842536,0.8153374233128834
dog_bark_foreground,12,0.940081799591002,0.8811860940695296,0.8621676891615542
drilling_foreground,12,0.9096114519427403,0.8805725971370143,0.7995910020449898
engine_idling_foreground,12,0.9554192229038855,0.9429447852760736,0.9059304703476483
gun_shot_foreground,12,0.9292433537832311,0.8969325153374234,0.8523517382413088
