noise_type,snr_train,snr_test,accuracy
pink,21,3,0.25501022494887526
pink,21,6,0.49652351738241307
pink,21,9,0.6995910020449898
pink,21,12,0.8576687116564418
pink,21,15,0.9049079754601227
pink,21,18,0.9214723926380368
pink,21,21,0.9282208588957055
pink,21,24,0.9347648261758691
pink,21,27,0.9406952965235174
pink,21,30,0.9411042944785276
pink,24,-3,0.08752556237218814
pink,24,0,0.15337423312883436
pink,24,3,0.2392638036809816
pink,24,6,0.5106339468302659
pink,24,9,0.7458077709611451
pink,24,12,0.8660531697341514
pink,24,15,0.9057259713701431
pink,24,18,0.9210633946830266
pink,24,21,0.9300613496932515
pink,24,24,0.9323108384458078
pink,24,27,0.9415132924335379
pink,24,30,0.9439672801635992
pink,27,-3,0.08813905930470348
pink,27,0,0.13803680981595093
pink,27,3,0.26196319018404907
pink,27,6,0.45194274028629855
pink,27,9,0.6846625766871166
pink,27,12,0.8439672801635992
pink,27,15,0.9047034764826176
pink,27,18,0.9229038854805726
pink,27,21,0.9331288343558283
pink,27,24,0.9392638036809816
pink,27,27,0.941922290388548
pink,27,30,0.9462167689161555
pink,30,-3,0.08159509202453988
pink,30,0,0.12576687116564417
pink,30,3,0.27177914110429446
pink,30,6,0.5098159509202455
pink,30,9,0.6750511247443762
pink,30,12,0.8429447852760736
pink,30,15,0.9040899795501023
pink,30,18,0.9233128834355828
pink,30,21,0.9355828220858896
pink,30,24,0.9406952965235174
pink,30,27,0.9476482617586912
pink,30,30,0.9517382413087935
babble,-3,-3,0.5930470347648262
babble,-3,0,0.681799591002045
babble,-3,3,0.7593047034764826
babble,-3,6,0.8020449897750511
babble,-3,9,0.8331288343558282
babble,-3,12,0.8501022494887526
babble,-3,15,0.8627811860940695
babble,-3,18,0.868916155419223
babble,-3,21,0.8730061349693251
babble,-3,24,0.8766871165644172
babble,-3,27,0.8791411042944786
babble,-3,30,0.8809815950920246
babble,0,-3,0.601840490797546
babble,0,0,0.7096114519427403
babble,0,3,0.7916155419222903
babble,0,6,0.8368098159509203
babble,0,9,0.8642126789366054
babble,0,12,0.8826175869120655
babble,0,15,0.8905930470347648
babble,0,18,0.8973415132924335
babble,0,21,0.9026584867075664
babble,0,24,0.9042944785276074
babble,0,27,0.9049079754601227
babble,0,30,0.908997955010225
babble,3,-3,0.6047034764826176
babble,3,0,0.720040899795501
babble,3,3,0.8002044989775051
babble,3,6,0.8484662576687116
babble,3,9,0.8742331288343558
babble,3,12,0.8924335378323108
babble,3,15,0.9038854805725971
babble,3,18,0.90920245398773
babble,3,21,0.9141104294478528
babble,3,24,0.9169734151329243
babble,3,27,0.916359918200409
babble,3,30,0.9177914110429448
babble,6,-3,0.6151329243353784
babble,6,0,0.7294478527607362
babble,6,3,0.8153374233128834
babble,6,6,0.8687116564417178
babble,6,9,0.8938650306748466
babble,6,12,0.9087934560327199
babble,6,15,0.9198364008179959
babble,6,18,0.9259713701431492
babble,6,21,0.9306748466257668
babble,6,24,0.9312883435582822
babble,6,27,0.9319018404907975
babble,6,30,0.9329243353783231
babble,9,-3,0.5820040899795501
babble,9,0,0.7147239263803681
babble,9,3,0.8038854805725971
babble,9,6,0.8644171779141104
babble,9,9,0.8983640081799591
babble,9,12,0.9157464212678936
babble,9,15,0.9280163599182004
babble,9,18,0.9321063394683027
babble,9,21,0.9368098159509203
babble,9,24,0.940081799591002
babble,9,27,0.9429447852760736
babble,9,30,0.9425357873210634
babble,12,-3,0.592638036809816
babble,12,0,0.7249488752556237
babble,12,3,0.8114519427402863
babble,12,6,0.8695296523517383
babble,12,9,0.9014314928425358
babble,12,12,0.9188139059304703
babble,12,15,0.9296523517382413
babble,12,18,0.9349693251533743
babble,12,21,0.9394683026584867
babble,12,24,0.9413087934560327
babble,12,27,0.9456032719836401
babble,12,30,0.9480572597137015
babble,15,-3,0.5860940695296524
babble,15,0,0.7231083844580777
babble,15,3,0.8143149284253579
babble,15,6,0.8742331288343558
babble,15,9,0.9057259713701431
babble,15,12,0.9247443762781186
babble,15,15,0.9341513292433538
babble,15,18,0.9421267893660532
babble,15,21,0.9458077709611452
babble,15,24,0.9478527607361963
babble,15,27,0.950920245398773
babble,15,30,0.9515337423312883
babble,18,-3,0.552760736196319
babble,18,0,0.6952965235173824
babble,18,3,0.7942740286298569
babble,18,6,0.865439672801636
babble,18,9,0.9028629856850716
babble,18,12,0.9224948875255624
babble,18,15,0.93640081799591
babble,18,18,0.9466257668711656
babble,18,21,0.9503067484662576
babble,18,24,0.9521472392638037
babble,18,27,0.9541922290388548
babble,18,30,0.9558282208588957
babble,21,-3,0.5343558282208589
babble,21,0,0.694478527607362
babble,21,3,0.7961145194274029
babble,21,6,0.8674846625766871
babble,21,9,0.9012269938650307
babble,21,12,0.9220858895705522
babble,21,15,0.9351738241308793
babble,21,18,0.9447852760736196
babble,21,21,0.9468302658486708
babble,21,24,0.9505112474437628
babble,21,27,0.9533742331288344
babble,21,30,0.9550102249488752
babble,24,-3,0.5343558282208589
babble,24,0,0.6842535787321063
babble,24,3,0.7963190184049079
babble,24,6,0.8664621676891615
babble,24,9,0.903476482617587
babble,24,12,0.9241308793456032
babble,24,15,0.939877300613497
babble,24,18,0.9449897750511247
babble,24,21,0.9505112474437628
babble,24,24,0.9521472392638037
babble,24,27,0.9550102249488752
babble,24,30,0.9574642126789366
babble,27,-3,0.49652351738241307
babble,27,0,0.654601226993865
babble,27,3,0.7715746421267894
babble,27,6,0.8496932515337423
babble,27,9,0.8975460122699387
babble,27,12,0.9206543967280164
babble,27,15,0.9361963190184049
babble,27,18,0.9431492842535787
babble,27,21,0.9482617586912065
babble,27,24,0.9523517382413088
babble,27,27,0.9541922290388548
babble,27,30,0.9562372188139059
babble,30,-3,0.48813905930470347
babble,30,0,0.6492842535787321
babble,30,3,0.7736196319018405
babble,30,6,0.8519427402862986
babble,30,9,0.8965235173824131
babble,30,12,0.9171779141104295
babble,30,15,0.9343558282208589
babble,30,18,0.9433537832310839
babble,30,21,0.9476482617586912
babble,30,24,0.950920245398773
babble,30,27,0.9533742331288344
babble,30,30,0.9562372188139059
car_horn_background,-3,-3,0.7709611451942741
car_horn_background,-3,0,0.8042944785276074
car_horn_background,-3,3,0.8276073619631902
car_horn_background,-3,6,0.8406952965235174
car_horn_background,-3,9,0.8582822085889571
car_horn_background,-3,12,0.8678936605316974
car_horn_background,-3,15,0.8795501022494887
car_horn_background,-3,18,0.8879345603271984
car_horn_background,-3,21,0.8926380368098159
car_horn_background,-3,24,0.8961145194274028
car_horn_background,-3,27,0.9
car_horn_background,-3,30,0.901635991820041
car_horn_background,0,-3,0.7713701431492842
car_horn_background,0,0,0.8204498977505112
car_horn_background,0,3,0.8468302658486707
car_horn_background,0,6,0.8685071574642127
car_horn_background,0,9,0.8807770961145194
car_horn_background,0,12,0.887321063394683
car_horn_background,0,15,0.8952965235173824
car_horn_background,0,18,0.9040899795501023
car_horn_background,0,21,0.9112474437627812
car_horn_background,0,24,0.9147239263803681
car_horn_background,0,27,0.9177914110429448
car_horn_background,0,30,0.9196319018404908
car_horn_background,3,-3,0.7543967280163599
car_horn_background,3,0,0.8220858895705522
car_horn_background,3,3,0.8648261758691207
car_horn_background,3,6,0.8848670756646216
car_horn_background,3,9,0.8975460122699387
car_horn_background,3,12,0.907157464212679
car_horn_background,3,15,0.9096114519427403
car_horn_background,3,18,0.9161554192229039
car_horn_background,3,21,0.9226993865030675
car_horn_background,3,24,0.9241308793456032
car_horn_background,3,27,0.9263803680981595
car_horn_background,3,30,0.9288343558282208
